Round,Agent,Route,Cost
1,0,O-A-D,240
1,1,O-A-D,240
1,2,O-A-D,240
1,3,O-A-B-D,240
1,4,O-A-D,240
1,5,O-A-D,240
1,6,O-A-D,240
1,7,O-A-B-D,240
1,8,O-A-D,240
1,9,O-A-D,240
1,10,O-A-D,240
1,11,O-A-D,240
1,12,O-A-B-D,240
1,13,O-A-B-D,240
1,14,O-A-B-D,240
1,15,O-B-D,240
1,16,O-A-D,240
1,17,O-A-B-D,240
2,0,O-A-B-D,260
2,1,O-A-B-D,260
2,2,O-B-D,260
2,3,O-A-B-D,260
2,4,O-A-D,260
2,5,O-A-B-D,260
2,6,O-A-D,260
2,7,O-A-D,260
2,8,O-A-D,260
2,9,O-A-D,260
2,10,O-A-B-D,260
2,11,O-A-B-D,260
2,12,O-B-D,260
2,13,O-A-B-D,260
2,14,O-B-D,260
2,15,O-A-D,260
2,16,O-B-D,260
2,17,O-A-B-D,260
3,0,O-A-D,340
3,1,O-B-D,340
3,2,O-A-B-D,340
3,3,O-A-D,340
3,4,O-A-D,340
3,5,O-B-D,340
3,6,O-A-B-D,340
3,7,O-B-D,340
3,8,O-A-B-D,340
3,9,O-B-D,340
3,10,O-A-B-D,340
3,11,O-A-D,340
3,12,O-A-B-D,340
3,13,O-A-D,340
3,14,O-A-B-D,340
3,15,O-B-D,340
3,16,O-A-B-D,340
3,17,O-B-D,340
4,0,O-A-B-D,360
4,1,O-B-D,360
4,2,O-A-D,360
4,3,O-A-D,360
4,4,O-A-B-D,360
4,5,O-A-B-D,360
4,6,O-A-B-D,360
4,7,O-B-D,360
4,8,O-A-D,360
4,9,O-A-D,360
4,10,O-A-D,360
4,11,O-A-D,360
4,12,O-B-D,360
4,13,O-A-D,360
4,14,O-A-D,360
4,15,O-A-B-D,360
4,16,O-A-B-D,360
4,17,O-A-D,360
5,0,O-A-B-D,330
5,1,O-A-D,330
5,2,O-B-D,330
5,3,O-A-B-D,330
5,4,O-B-D,330
5,5,O-A-B-D,330
5,6,O-A-D,330
5,7,O-B-D,330
5,8,O-B-D,330
5,9,O-A-B-D,330
5,10,O-A-D,330
5,11,O-B-D,330
5,12,O-A-B-D,330
5,13,O-A-D,330
5,14,O-A-B-D,330
5,15,O-A-D,330
5,16,O-A-D,330
5,17,O-B-D,330
6,0,O-A-B-D,340
6,1,O-B-D,340
6,2,O-A-D,340
6,3,O-A-B-D,340
6,4,O-A-B-D,340
6,5,O-A-D,340
6,6,O-B-D,340
6,7,O-A-D,340
6,8,O-A-B-D,340
6,9,O-B-D,340
6,10,O-A-D,340
6,11,O-A-D,340
6,12,O-A-B-D,340
6,13,O-B-D,340
6,14,O-A-B-D,340
6,15,O-B-D,340
6,16,O-A-B-D,340
6,17,O-A-D,340
7,0,O-A-B-D,310
7,1,O-A-D,310
7,2,O-A-B-D,310
7,3,O-B-D,310
7,4,O-A-B-D,310
7,5,O-B-D,310
7,6,O-A-B-D,310
7,7,O-B-D,310
7,8,O-B-D,310
7,9,O-B-D,310
7,10,O-A-B-D,310
7,11,O-B-D,310
7,12,O-B-D,310
7,13,O-A-B-D,310
7,14,O-A-D,310
7,15,O-A-D,310
7,16,O-B-D,310
7,17,O-A-D,310
8,0,O-A-D,300
8,1,O-B-D,300
8,2,O-B-D,300
8,3,O-B-D,300
8,4,O-A-D,300
8,5,O-B-D,300
8,6,O-B-D,300
8,7,O-A-D,300
8,8,O-A-B-D,300
8,9,O-A-B-D,300
8,10,O-B-D,300
8,11,O-B-D,300
8,12,O-B-D,300
8,13,O-A-B-D,300
8,14,O-A-D,300
8,15,O-A-D,300
8,16,O-B-D,300
8,17,O-A-D,300
9,0,O-A-B-D,350
9,1,O-A-B-D,350
9,2,O-B-D,350
9,3,O-B-D,350
9,4,O-A-B-D,350
9,5,O-A-B-D,350
9,6,O-A-B-D,350
9,7,O-A-D,350
9,8,O-A-D,350
