Round,Agent,Route,Cost
1,0,O-A-D,350
1,1,O-A-D,350
1,2,O-B-D,250
1,3,O-A-D,350
1,4,O-A-D,350
1,5,O-B-D,250
1,6,O-A-D,350
1,7,O-A-D,350
1,8,O-A-D,350
1,9,O-A-D,350
1,10,O-A-D,350
1,11,O-A-D,350
1,12,O-A-D,350
1,13,O-A-D,350
1,14,O-A-D,350
1,15,O-B-D,250
1,16,O-A-D,350
1,17,O-B-D,250
2,0,O-B-D,380
2,1,O-B-D,380
2,2,O-B-D,380
2,3,O-B-D,380
2,4,O-B-D,380
2,5,O-B-D,380
2,6,O-B-D,380
2,7,O-B-D,380
2,8,O-B-D,380
2,9,O-B-D,380
2,10,O-B-D,380
2,11,O-B-D,380
2,12,O-B-D,380
2,13,O-B-D,380
2,14,O-B-D,380
2,15,O-B-D,380
2,16,O-B-D,380
2,17,O-A-D,220
3,0,O-A-D,380
3,1,O-A-D,380
3,2,O-A-D,380
3,3,O-A-D,380
3,4,O-A-D,380
3,5,O-A-D,380
3,6,O-A-D,380
3,7,O-A-D,380
3,8,O-A-D,380
3,9,O-A-D,380
3,10,O-A-D,380
3,11,O-A-D,380
3,12,O-A-D,380
3,13,O-A-D,380
3,14,O-A-D,380
3,15,O-A-D,380
3,16,O-A-D,380
3,17,O-B-D,220
4,0,O-B-D,370
4,1,O-B-D,370
4,2,O-B-D,370
4,3,O-B-D,370
4,4,O-B-D,370
4,5,O-B-D,370
4,6,O-B-D,370
4,7,O-B-D,370
4,8,O-B-D,370
4,9,O-B-D,370
4,10,O-B-D,370
4,11,O-B-D,370
4,12,O-B-D,370
4,13,O-B-D,370
4,14,O-B-D,370
4,15,O-A-D,230
4,16,O-B-D,370
4,17,O-A-D,230
5,0,O-A-D,370
5,1,O-A-D,370
5,2,O-A-D,370
5,3,O-A-D,370
5,4,O-A-D,370
5,5,O-A-D,370
5,6,O-A-D,370
5,7,O-A-D,370
5,8,O-A-D,370
5,9,O-A-D,370
5,10,O-A-D,370
5,11,O-A-D,370
5,12,O-A-D,370
5,13,O-A-D,370
5,14,O-A-D,370
5,15,O-B-D,230
5,16,O-A-D,370
5,17,O-B-D,230
