Round,Agent,Route,Cost
1,0,O-A-D,330
1,1,O-A-D,330
1,2,O-B-D,270
1,3,O-A-D,330
1,4,O-A-D,330
1,5,O-A-D,330
1,6,O-B-D,270
1,7,O-B-D,270
1,8,O-A-D,330
1,9,O-A-D,330
1,10,O-B-D,270
1,11,O-A-D,330
1,12,O-B-D,270
1,13,O-A-D,330
1,14,O-A-D,330
1,15,O-B-D,270
1,16,O-A-D,330
1,17,O-A-D,330
2,0,O-B-D,290
2,1,O-A-D,310
2,2,O-B-D,290
2,3,O-A-D,310
2,4,O-A-D,310
2,5,O-A-D,310
2,6,O-A-D,310
2,7,O-A-D,310
2,8,O-A-D,310
2,9,O-B-D,290
2,10,O-A-D,310
2,11,O-B-D,290
2,12,O-A-D,310
2,13,O-A-D,310
2,14,O-B-D,290
2,15,O-B-D,290
2,16,O-B-D,290
2,17,O-B-D,290
3,0,O-B-D,260
3,1,O-A-D,340
3,2,O-B-D,260
3,3,O-B-D,260
3,4,O-A-D,340
3,5,O-A-D,340
3,6,O-A-D,340
3,7,O-A-D,340
3,8,O-A-D,340
3,9,O-A-D,340
3,10,O-B-D,260
3,11,O-B-D,260
3,12,O-A-D,340
3,13,O-A-D,340
3,14,O-A-D,340
3,15,O-A-D,340
3,16,O-A-D,340
3,17,O-A-D,340
4,0,O-A-D,340
4,1,O-A-D,340
4,2,O-B-D,260
4,3,O-A-D,340
4,4,O-A-D,340
4,5,O-A-D,340
4,6,O-B-D,260
4,7,O-A-D,340
4,8,O-A-D,340
4,9,O-A-D,340
4,10,O-A-D,340
4,11,O-B-D,260
4,12,O-A-D,340
4,13,O-A-D,340
4,14,O-A-D,340
4,15,O-B-D,260
4,16,O-B-D,260
4,17,O-A-D,340
5,0,O-B-D,260
5,1,O-A-D,340
5,2,O-A-D,340
5,3,O-B-D,260
5,4,O-A-D,340
5,5,O-A-D,340
5,6,O-A-D,340
5,7,O-B-D,260
5,8,O-A-D,340
5,9,O-A-D,340
5,10,O-A-D,340
5,11,O-B-D,260
5,12,O-A-D,340
5,13,O-A-D,340
5,14,O-A-D,340
5,15,O-A-D,340
5,16,O-B-D,260
5,17,O-A-D,340
6,0,O-B-D,240
6,1,O-A-D,360
6,2,O-A-D,360
6,3,O-B-D,240
6,4,O-A-D,360
6,5,O-A-D,360
6,6,O-A-D,360
6,7,O-A-D,360
6,8,O-A-D,360
6,9,O-A-D,360
6,10,O-A-D,360
6,11,O-B-D,240
6,12,O-A-D,360
6,13,O-A-D,360
6,14,O-A-D,360
6,15,O-A-D,360
6,16,O-A-D,360
6,17,O-A-D,360
7,0,O-B-D,270
7,1,O-A-D,330
7,2,O-A-D,330
7,3,O-A-D,330
7,4,O-B-D,270
7,5,O-A-D,330
7,6,O-B-D,270
7,7,O-B-D,270
7,8,O-A-D,330
7,9,O-A-D,330
7,10,O-A-D,330
7,11,O-B-D,270
7,12,O-A-D,330
7,13,O-A-D,330
7,14,O-A-D,330
7,15,O-A-D,330
7,16,O-B-D,270
7,17,O-A-D,330
8,0,O-B-D,250
8,1,O-A-D,350
8,2,O-A-D,350
8,3,O-A-D,350
8,4,O-A-D,350
8,5,O-A-D,350
8,6,O-B-D,250
8,7,O-B-D,250
8,8,O-A-D,350
8,9,O-A-D,350
8,10,O-A-D,350
8,11,O-B-D,250
8,12,O-A-D,350
8,13,O-A-D,350
8,14,O-A-D,350
8,15,O-A-D,350
8,16,O-A-D,350
8,17,O-A-D,350
9,0,O-B-D,260
9,1,O-A-D,340
9,2,O-A-D,340
9,3,O-A-D,340
9,4,O-A-D,340
9,5,O-A-D,340
9,6,O-B-D,260
9,7,O-A-D,340
9,8,O-A-D,340
9,9,O-A-D,340
9,10,O-A-D,340
9,11,O-B-D,260
9,12,O-A-D,340
9,13,O-A-D,340
9,14,O-B-D,260
9,15,O-A-D,340
9,16,O-B-D,260
9,17,O-A-D,340
10,0,O-B-D,290
10,1,O-A-D,310
10,2,O-A-D,310
10,3,O-A-D,310
10,4,O-A-D,310
10,5,O-A-D,310
10,6,O-B-D,290
10,7,O-B-D,290
10,8,O-A-D,310
10,9,O-A-D,310
10,10,O-B-D,290
10,11,O-B-D,290
10,12,O-A-D,310
10,13,O-A-D,310
10,14,O-B-D,290
10,15,O-B-D,290
10,16,O-B-D,290
10,17,O-A-D,310
