Round,Agent,Route,Payoff,Regret
1,0,O-L-D,150,0
2,0,O-L-D,10,170
3,0,O-R-D,10,170
4,0,O-L-D,10,170
5,0,O-R-D,20,150
6,0,O-L-D,40,110
7,0,O-R-D,30,130
8,0,O-L-D,20,150
9,0,O-R-D,20,150
10,0,O-L-D,30,130
11,0,O-R-D,40,110
12,0,O-L-D,30,130
13,0,O-R-D,30,130
14,0,O-L-D,30,130
15,0,O-R-D,30,130
16,0,O-L-D,30,130
17,0,O-R-D,30,130
18,0,O-L-D,30,130
19,0,O-R-D,40,110
20,0,O-L-D,40,110
21,0,O-R-D,40,110
22,0,O-L-D,50,90
23,0,O-R-D,40,110
24,0,O-L-D,40,110
25,0,O-R-D,40,110
26,0,O-L-D,40,110
27,0,O-R-D,40,110
28,0,O-L-D,50,90
29,0,O-R-D,40,110
30,0,O-L-D,30,130
31,0,O-R-D,30,130
32,0,O-L-D,30,130
33,0,O-R-D,30,130
34,0,O-L-D,40,110
35,0,O-R-D,40,110
36,0,O-L-D,50,90
37,0,O-R-D,40,110
38,0,O-L-D,40,110
39,0,O-R-D,50,90
40,0,O-L-D,40,110
1,1,O-L-D,150,0
2,1,O-L-D,10,170
3,1,O-R-D,10,170
4,1,O-L-D,10,170
5,1,O-R-D,20,150
6,1,O-R-D,160,0
7,1,O-R-D,30,130
8,1,O-L-D,20,150
9,1,O-R-D,20,150
10,1,O-L-D,30,130
11,1,O-R-D,40,110
12,1,O-L-D,30,130
13,1,O-R-D,30,130
14,1,O-L-D,30,130
15,1,O-R-D,30,130
16,1,O-L-D,30,130
17,1,O-R-D,30,130
18,1,O-L-D,30,130
19,1,O-R-D,40,110
20,1,O-L-D,40,110
21,1,O-R-D,40,110
22,1,O-L-D,50,90
23,1,O-R-D,40,110
24,1,O-L-D,40,110
25,1,O-R-D,40,110
26,1,O-L-D,40,110
27,1,O-R-D,40,110
28,1,O-R-D,150,0
29,1,O-R-D,40,110
30,1,O-L-D,30,130
31,1,O-R-D,30,130
32,1,O-L-D,30,130
33,1,O-R-D,30,130
34,1,O-L-D,40,110
35,1,O-R-D,40,110
36,1,O-L-D,50,90
37,1,O-R-D,40,110
38,1,O-L-D,40,110
39,1,O-L-D,150,0
40,1,O-L-D,40,110
1,2,O-R-D,50,90
2,2,O-L-D,10,170
3,2,O-R-D,10,170
4,2,O-L-D,10,170
5,2,O-R-D,20,150
6,2,O-L-D,40,110
7,2,O-R-D,30,130
8,2,O-L-D,20,150
9,2,O-R-D,20,150
10,2,O-L-D,30,130
11,2,O-R-D,40,110
12,2,O-L-D,30,130
13,2,O-R-D,30,130
14,2,O-L-D,30,130
15,2,O-R-D,30,130
16,2,O-L-D,30,130
17,2,O-R-D,30,130
18,2,O-L-D,30,130
19,2,O-L-D,160,0
20,2,O-R-D,160,0
21,2,O-L-D,160,0
22,2,O-R-D,150,0
23,2,O-L-D,160,0
24,2,O-R-D,160,0
25,2,O-L-D,160,0
26,2,O-R-D,160,0
27,2,O-L-D,160,0
28,2,O-R-D,150,0
29,2,O-L-D,160,0
30,2,O-L-D,30,130
31,2,O-R-D,30,130
32,2,O-L-D,30,130
33,2,O-R-D,30,130
34,2,O-R-D,160,0
35,2,O-L-D,160,0
36,2,O-R-D,150,0
37,2,O-L-D,160,0
38,2,O-R-D,160,0
39,2,O-L-D,150,0
40,2,O-R-D,160,0
1,3,O-R-D,50,90
2,3,O-L-D,10,170
3,3,O-R-D,10,170
4,3,O-L-D,10,170
5,3,O-R-D,20,150
6,3,O-R-D,160,0
7,3,O-R-D,30,130
8,3,O-L-D,20,150
9,3,O-R-D,20,150
10,3,O-L-D,30,130
11,3,O-L-D,160,0
12,3,O-L-D,30,130
13,3,O-R-D,30,130
14,3,O-L-D,30,130
15,3,O-R-D,30,130
16,3,O-L-D,30,130
17,3,O-R-D,30,130
18,3,O-L-D,30,130
19,3,O-R-D,40,110
20,3,O-L-D,40,110
21,3,O-R-D,40,110
22,3,O-L-D,50,90
23,3,O-R-D,40,110
24,3,O-L-D,40,110
25,3,O-R-D,40,110
26,3,O-L-D,40,110
27,3,O-R-D,40,110
28,3,O-L-D,50,90
29,3,O-R-D,40,110
30,3,O-L-D,30,130
31,3,O-R-D,30,130
32,3,O-L-D,30,130
33,3,O-R-D,30,130
34,3,O-L-D,40,110
35,3,O-R-D,40,110
36,3,O-L-D,50,90
37,3,O-R-D,40,110
38,3,O-L-D,40,110
39,3,O-R-D,50,90
40,3,O-L-D,40,110
1,4,O-R-D,50,90
2,4,O-L-D,10,170
3,4,O-R-D,10,170
4,4,O-L-D,10,170
5,4,O-R-D,20,150
6,4,O-L-D,40,110
7,4,O-R-D,30,130
8,4,O-L-D,20,150
9,4,O-R-D,20,150
10,4,O-L-D,30,130
11,4,O-R-D,40,110
12,4,O-L-D,30,130
13,4,O-R-D,30,130
14,4,O-L-D,30,130
15,4,O-R-D,30,130
16,4,O-L-D,30,130
17,4,O-R-D,30,130
18,4,O-L-D,30,130
19,4,O-R-D,40,110
20,4,O-L-D,40,110
21,4,O-R-D,40,110
22,4,O-L-D,50,90
23,4,O-R-D,40,110
24,4,O-L-D,40,110
25,4,O-R-D,40,110
26,4,O-L-D,40,110
27,4,O-R-D,40,110
28,4,O-L-D,50,90
29,4,O-R-D,40,110
30,4,O-L-D,30,130
31,4,O-R-D,30,130
32,4,O-L-D,30,130
33,4,O-R-D,30,130
34,4,O-L-D,40,110
35,4,O-R-D,40,110
36,4,O-L-D,50,90
37,4,O-R-D,40,110
38,4,O-L-D,40,110
39,4,O-R-D,50,90
40,4,O-L-D,40,110
1,5,O-R-D,50,90
2,5,O-L-D,10,170
3,5,O-R-D,10,170
4,5,O-L-D,10,170
5,5,O-R-D,20,150
6,5,O-L-D,40,110
7,5,O-R-D,30,130
8,5,O-L-D,20,150
9,5,O-R-D,20,150
10,5,O-L-D,30,130
11,5,O-R-D,40,110
12,5,O-L-D,30,130
13,5,O-R-D,30,130
14,5,O-L-D,30,130
15,5,O-R-D,30,130
16,5,O-L-D,30,130
17,5,O-R-D,30,130
18,5,O-L-D,30,130
19,5,O-R-D,40,110
20,5,O-L-D,40,110
21,5,O-R-D,40,110
22,5,O-L-D,50,90
23,5,O-R-D,40,110
24,5,O-L-D,40,110
25,5,O-R-D,40,110
26,5,O-L-D,40,110
27,5,O-R-D,40,110
28,5,O-L-D,50,90
29,5,O-R-D,40,110
30,5,O-L-D,30,130
31,5,O-R-D,30,130
32,5,O-L-D,30,130
33,5,O-R-D,30,130
34,5,O-L-D,40,110
35,5,O-R-D,40,110
36,5,O-L-D,50,90
37,5,O-R-D,40,110
38,5,O-L-D,40,110
39,5,O-R-D,50,90
40,5,O-L-D,40,110
1,6,O-R-D,50,90
2,6,O-L-D,10,170
3,6,O-R-D,10,170
4,6,O-L-D,10,170
5,6,O-R-D,20,150
6,6,O-R-D,160,0
7,6,O-L-D,170,0
8,6,O-L-D,20,150
9,6,O-R-D,20,150
10,6,O-R-D,170,0
11,6,O-L-D,160,0
12,6,O-R-D,170,0
13,6,O-L-D,170,0
14,6,O-R-D,170,0
15,6,O-L-D,170,0
16,6,O-R-D,170,0
17,6,O-L-D,170,0
18,6,O-R-D,170,0
19,6,O-L-D,160,0
20,6,O-R-D,160,0
21,6,O-L-D,160,0
22,6,O-R-D,150,0
23,6,O-L-D,160,0
24,6,O-R-D,160,0
25,6,O-L-D,160,0
26,6,O-R-D,160,0
27,6,O-L-D,160,0
28,6,O-R-D,150,0
29,6,O-L-D,160,0
30,6,O-R-D,170,0
31,6,O-L-D,170,0
32,6,O-R-D,170,0
33,6,O-L-D,170,0
34,6,O-R-D,160,0
35,6,O-L-D,160,0
36,6,O-R-D,150,0
37,6,O-L-D,160,0
38,6,O-R-D,160,0
39,6,O-L-D,150,0
40,6,O-R-D,160,0
1,7,O-L-D,150,0
2,7,O-L-D,10,170
3,7,O-R-D,10,170
4,7,O-L-D,10,170
5,7,O-R-D,20,150
6,7,O-L-D,40,110
7,7,O-R-D,30,130
8,7,O-L-D,20,150
9,7,O-R-D,20,150
10,7,O-L-D,30,130
11,7,O-R-D,40,110
12,7,O-L-D,30,130
13,7,O-R-D,30,130
