Round,Agent,Route,Payoff,Regret
1,0,O-L-R-D,40,0
2,0,O-R-D,10,200
3,0,O-L-D,10,180
4,0,O-R-D,10,180
5,0,O-L-D,10,190
6,0,O-R-D,10,190
7,0,O-L-D,10,190
8,0,O-R-D,10,190
9,0,O-L-D,10,190
10,0,O-R-D,10,180
11,0,O-L-D,10,190
12,0,O-R-D,10,190
13,0,O-L-D,10,190
14,0,O-R-D,10,190
15,0,O-L-D,10,190
16,0,O-R-D,10,190
17,0,O-L-D,10,190
18,0,O-R-D,10,190
19,0,O-L-D,10,190
20,0,O-R-D,10,190
21,0,O-L-D,10,190
22,0,O-R-D,10,190
23,0,O-L-D,10,190
24,0,O-R-D,10,190
25,0,O-L-D,10,190
26,0,O-R-D,10,190
27,0,O-L-D,10,190
28,0,O-R-D,10,190
29,0,O-L-D,10,190
30,0,O-R-D,10,190
31,0,O-L-D,10,190
32,0,O-R-D,10,190
33,0,O-L-D,10,190
34,0,O-R-D,10,190
35,0,O-L-D,10,190
36,0,O-R-D,10,190
37,0,O-L-D,10,190
38,0,O-R-D,10,190
39,0,O-L-D,10,190
40,0,O-R-D,10,190
1,1,O-L-R-D,40,0
2,1,O-R-D,10,200
3,1,O-L-D,10,180
4,1,O-R-D,10,180
5,1,O-L-D,10,190
6,1,O-R-D,10,190
7,1,O-L-D,10,190
8,1,O-R-D,10,190
9,1,O-L-D,10,190
10,1,O-R-D,10,180
11,1,O-L-D,10,190
12,1,O-R-D,10,190
13,1,O-L-D,10,190
14,1,O-R-D,10,190
15,1,O-L-D,10,190
16,1,O-R-D,10,190
17,1,O-L-D,10,190
18,1,O-R-D,10,190
19,1,O-L-D,10,190
20,1,O-R-D,10,190
21,1,O-L-D,10,190
22,1,O-R-D,10,190
23,1,O-L-D,10,190
24,1,O-R-D,10,190
25,1,O-L-D,10,190
26,1,O-R-D,10,190
27,1,O-L-D,10,190
28,1,O-R-D,10,190
29,1,O-L-D,10,190
30,1,O-R-D,10,190
31,1,O-L-D,10,190
32,1,O-R-D,10,190
33,1,O-L-D,10,190
34,1,O-R-D,10,190
35,1,O-L-D,10,190
36,1,O-R-D,10,190
37,1,O-L-D,10,190
38,1,O-R-D,10,190
39,1,O-L-D,10,190
40,1,O-R-D,10,190
1,2,O-L-R-D,40,0
2,2,O-R-D,10,200
3,2,O-L-D,10,180
4,2,O-R-D,10,180
5,2,O-L-D,10,190
6,2,O-R-D,10,190
7,2,O-L-D,10,190
8,2,O-R-D,10,190
9,2,O-L-D,10,190
10,2,O-L-R-D,200,0
11,2,O-L-D,10,190
12,2,O-R-D,10,190
13,2,O-L-D,10,190
14,2,O-R-D,10,190
15,2,O-L-D,10,190
16,2,O-R-D,10,190
17,2,O-L-D,10,190
18,2,O-R-D,10,190
19,2,O-L-D,10,190
20,2,O-R-D,10,190
21,2,O-L-D,10,190
22,2,O-R-D,10,190
23,2,O-L-D,10,190
24,2,O-R-D,10,190
25,2,O-L-D,10,190
26,2,O-R-D,10,190
27,2,O-L-D,10,190
28,2,O-R-D,10,190
29,2,O-L-D,10,190
30,2,O-R-D,10,190
31,2,O-L-D,10,190
32,2,O-R-D,10,190
33,2,O-L-D,10,190
34,2,O-R-D,10,190
35,2,O-L-D,10,190
36,2,O-R-D,10,190
37,2,O-L-D,10,190
38,2,O-R-D,10,190
39,2,O-L-D,10,190
40,2,O-R-D,10,190
1,3,O-L-R-D,40,0
2,3,O-R-D,10,200
3,3,O-L-D,10,180
4,3,O-L-R-D,200,0
5,3,O-L-D,10,190
6,3,O-R-D,10,190
7,3,O-L-D,10,190
8,3,O-R-D,10,190
9,3,O-L-D,10,190
10,3,O-R-D,10,180
11,3,O-L-D,10,190
12,3,O-R-D,10,190
13,3,O-L-D,10,190
14,3,O-R-D,10,190
15,3,O-L-D,10,190
16,3,O-R-D,10,190
17,3,O-L-D,10,190
18,3,O-R-D,10,190
19,3,O-L-D,10,190
20,3,O-R-D,10,190
21,3,O-L-D,10,190
22,3,O-R-D,10,190
23,3,O-L-D,10,190
24,3,O-R-D,10,190
25,3,O-L-D,10,190
26,3,O-R-D,10,190
27,3,O-L-D,10,190
28,3,O-R-D,10,190
29,3,O-L-D,10,190
30,3,O-R-D,10,190
31,3,O-L-D,10,190
32,3,O-R-D,10,190
33,3,O-L-D,10,190
34,3,O-R-D,10,190
35,3,O-L-D,10,190
36,3,O-R-D,10,190
37,3,O-L-D,10,190
38,3,O-R-D,10,190
39,3,O-L-D,10,190
40,3,O-R-D,10,190
1,4,O-L-R-D,40,0
2,4,O-R-D,10,200
3,4,O-L-R-D,200,0
4,4,O-R-D,10,180
5,4,O-L-D,10,190
6,4,O-R-D,10,190
7,4,O-L-D,10,190
8,4,O-R-D,10,190
9,4,O-L-D,10,190
10,4,O-R-D,10,180
11,4,O-L-D,10,190
12,4,O-R-D,10,190
13,4,O-L-D,10,190
14,4,O-R-D,10,190
15,4,O-L-D,10,190
16,4,O-R-D,10,190
17,4,O-L-D,10,190
18,4,O-R-D,10,190
19,4,O-L-D,10,190
20,4,O-R-D,10,190
21,4,O-L-D,10,190
22,4,O-R-D,10,190
23,4,O-L-D,10,190
24,4,O-R-D,10,190
25,4,O-L-D,10,190
26,4,O-R-D,10,190
27,4,O-L-D,10,190
28,4,O-R-D,10,190
29,4,O-L-D,10,190
30,4,O-R-D,10,190
31,4,O-L-D,10,190
32,4,O-R-D,10,190
33,4,O-L-D,10,190
34,4,O-R-D,10,190
35,4,O-L-D,10,190
36,4,O-R-D,10,190
37,4,O-L-D,10,190
38,4,O-R-D,10,190
39,4,O-L-D,10,190
40,4,O-R-D,10,190
1,5,O-L-R-D,40,0
2,5,O-R-D,10,200
3,5,O-L-D,10,180
4,5,O-R-D,10,180
5,5,O-L-D,10,190
6,5,O-R-D,10,190
7,5,O-L-D,10,190
8,5,O-R-D,10,190
9,5,O-L-D,10,190
10,5,O-R-D,10,180
11,5,O-L-D,10,190
12,5,O-R-D,10,190
13,5,O-L-D,10,190
14,5,O-R-D,10,190
15,5,O-L-D,10,190
16,5,O-R-D,10,190
17,5,O-L-D,10,190
18,5,O-R-D,10,190
19,5,O-L-D,10,190
20,5,O-R-D,10,190
21,5,O-L-D,10,190
22,5,O-R-D,10,190
23,5,O-L-D,10,190
24,5,O-R-D,10,190
25,5,O-L-D,10,190
26,5,O-R-D,10,190
27,5,O-L-D,10,190
28,5,O-R-D,10,190
29,5,O-L-D,10,190
30,5,O-R-D,10,190
31,5,O-L-D,10,190
