Round,Agent,Route,Cost
1,0,O-B-D,290
1,1,O-B-D,290
1,2,O-A-D,290
1,3,O-A-D,290
1,4,O-A-D,290
1,5,O-B-D,290
1,6,O-B-D,290
1,7,O-A-D,290
1,8,O-A-D,290
1,9,O-A-D,290
1,10,O-B-D,290
1,11,O-B-D,290
1,12,O-B-D,290
1,13,O-B-D,290
1,14,O-B-D,290
1,15,O-A-D,290
1,16,O-B-D,290
1,17,O-A-D,290
2,0,O-A-D,310
2,1,O-A-D,310
2,2,O-A-D,310
2,3,O-A-D,310
2,4,O-B-D,310
2,5,O-A-D,310
2,6,O-B-D,310
2,7,O-B-D,310
2,8,O-B-D,310
2,9,O-B-D,310
2,10,O-B-D,310
2,11,O-A-D,310
2,12,O-B-D,310
2,13,O-A-D,310
2,14,O-A-D,310
2,15,O-B-D,310
2,16,O-B-D,310
2,17,O-B-D,310
3,0,O-B-D,340
3,1,O-B-D,340
3,2,O-B-D,340
3,3,O-A-D,340
3,4,O-B-D,340
3,5,O-A-D,340
3,6,O-B-D,340
3,7,O-B-D,340
3,8,O-A-D,340
3,9,O-B-D,340
3,10,O-A-D,340
3,11,O-B-D,340
3,12,O-B-D,340
3,13,O-A-D,340
3,14,O-B-D,340
3,15,O-B-D,340
3,16,O-B-D,340
3,17,O-B-D,340
4,0,O-A-D,290
4,1,O-A-D,290
4,2,O-B-D,290
4,3,O-A-D,290
4,4,O-B-D,290
4,5,O-A-D,290
4,6,O-A-D,290
4,7,O-B-D,290
4,8,O-B-D,290
4,9,O-A-D,290
4,10,O-A-D,290
4,11,O-A-D,290
4,12,O-B-D,290
4,13,O-B-D,290
4,14,O-A-D,290
4,15,O-A-D,290
4,16,O-B-D,290
4,17,O-B-D,290
5,0,O-B-D,310
5,1,O-A-D,310
5,2,O-B-D,310
5,3,O-B-D,310
5,4,O-A-D,310
5,5,O-B-D,310
5,6,O-A-D,310
5,7,O-A-D,310
5,8,O-A-D,310
5,9,O-B-D,310
5,10,O-A-D,310
5,11,O-B-D,310
5,12,O-B-D,310
5,13,O-B-D,310
5,14,O-A-D,310
5,15,O-B-D,310
5,16,O-A-D,310
5,17,O-B-D,310
6,0,O-B-D,310
6,1,O-B-D,310
6,2,O-B-D,310
6,3,O-B-D,310
6,4,O-A-D,310
6,5,O-A-D,310
6,6,O-A-D,310
6,7,O-A-D,310
6,8,O-A-D,310
6,9,O-A-D,310
6,10,O-B-D,310
6,11,O-B-D,310
6,12,O-B-D,310
6,13,O-B-D,310
6,14,O-A-D,310
6,15,O-A-D,310
6,16,O-A-D,310
6,17,O-A-D,310
7,0,O-A-D,320
7,1,O-B-D,320
7,2,O-A-D,320
7,3,O-B-D,320
7,4,O-A-D,320
7,5,O-B-D,320
7,6,O-A-D,320
7,7,O-A-D,320
7,8,O-A-D,320
7,9,O-B-D,320
7,10,O-A-D,320
7,11,O-B-D,320
7,12,O-A-D,320
7,13,O-A-D,320
7,14,O-B-D,320
7,15,O-B-D,320
7,16,O-A-D,320
7,17,O-A-D,320
8,0,O-A-D,310
8,1,O-B-D,310
8,2,O-B-D,310
8,3,O-B-D,310
8,4,O-A-D,310
8,5,O-A-D,310
8,6,O-A-D,310
8,7,O-A-D,310
8,8,O-B-D,310
8,9,O-A-D,310
8,10,O-A-D,310
8,11,O-A-D,310
8,12,O-B-D,310
8,13,O-B-D,310
8,14,O-A-D,310
8,15,O-B-D,310
8,16,O-B-D,310
8,17,O-A-D,310
9,0,O-A-D,310
9,1,O-A-D,310
9,2,O-A-D,310
9,3,O-B-D,310
9,4,O-B-D,310
9,5,O-B-D,310
9,6,O-A-D,310
9,7,O-B-D,310
9,8,O-A-D,310
9,9,O-B-D,310
9,10,O-B-D,310
9,11,O-B-D,310
9,12,O-A-D,310
9,13,O-A-D,310
9,14,O-B-D,310
9,15,O-A-D,310
9,16,O-B-D,310
9,17,O-B-D,310
10,0,O-B-D,310
10,1,O-A-D,310
10,2,O-A-D,310
10,3,O-B-D,310
10,4,O-A-D,310
10,5,O-A-D,310
10,6,O-B-D,310
10,7,O-A-D,310
10,8,O-B-D,310
10,9,O-A-D,310
10,10,O-A-D,310
10,11,O-B-D,310
10,12,O-A-D,310
10,13,O-B-D,310
10,14,O-B-D,310
10,15,O-B-D,310
10,16,O-A-D,310
10,17,O-A-D,310
11,0,O-B-D,310
11,1,O-A-D,310
11,2,O-A-D,310
11,3,O-B-D,310
11,4,O-A-D,310
11,5,O-B-D,310
11,6,O-B-D,310
11,7,O-B-D,310
11,8,O-A-D,310
11,9,O-A-D,310
11,10,O-B-D,310
11,11,O-A-D,310
11,12,O-A-D,310
11,13,O-B-D,310
11,14,O-B-D,310
11,15,O-A-D,310
11,16,O-A-D,310
11,17,O-A-D,310
12,0,O-B-D,320
12,1,O-B-D,320
12,2,O-A-D,320
12,3,O-A-D,320
12,4,O-A-D,320
12,5,O-B-D,320
12,6,O-B-D,320
12,7,O-A-D,320
12,8,O-B-D,320
12,9,O-B-D,320
12,10,O-B-D,320
12,11,O-B-D,320
12,12,O-B-D,320
12,13,O-B-D,320
12,14,O-A-D,320
12,15,O-A-D,320
12,16,O-A-D,320
12,17,O-B-D,320
13,0,O-B-D,290
13,1,O-A-D,290
13,2,O-A-D,290
13,3,O-A-D,290
13,4,O-A-D,290
13,5,O-A-D,290
13,6,O-A-D,290
13,7,O-B-D,290
13,8,O-B-D,290
13,9,O-A-D,290
13,10,O-A-D,290
13,11,O-A-D,290
13,12,O-B-D,290
13,13,O-B-D,290
13,14,O-B-D,290
13,15,O-B-D,290
13,16,O-A-D,290
13,17,O-B-D,290
14,0,O-B-D,320
14,1,O-B-D,320
14,2,O-A-D,320
14,3,O-A-D,320
14,4,O-B-D,320
14,5,O-A-D,320
14,6,O-A-D,320
14,7,O-B-D,320
14,8,O-A-D,320
14,9,O-B-D,320
14,10,O-B-D,320
14,11,O-A-D,320
14,12,O-B-D,320
14,13,O-B-D,320
14,14,O-B-D,320
14,15,O-B-D,320
14,16,O-A-D,320
14,17,O-B-D,320
15,0,O-A-D,300
15,1,O-A-D,300
15,2,O-B-D,300
15,3,O-A-D,300
15,4,O-A-D,300
15,5,O-A-D,300
15,6,O-A-D,300
15,7,O-B-D,300
15,8,O-B-D,300
15,9,O-B-D,300
15,10,O-B-D,300
15,11,O-B-D,300
15,12,O-B-D,300
15,13,O-B-D,300
15,14,O-B-D,300
15,15,O-A-D,300
15,16,O-A-D,300
15,17,O-A-D,300
16,0,O-A-D,290
16,1,O-A-D,290
16,2,O-A-D,290
16,3,O-B-D,290
16,4,O-A-D,290
16,5,O-A-D,290
16,6,O-A-D,290
16,7,O-B-D,290
16,8,O-A-D,290
16,9,O-B-D,290
16,10,O-B-D,290
16,11,O-A-D,290
16,12,O-B-D,290
16,13,O-B-D,290
16,14,O-A-D,290
16,15,O-B-D,290
16,16,O-A-D,290
16,17,O-B-D,290
17,0,O-B-D,290
17,1,O-B-D,290
17,2,O-A-D,290
17,3,O-A-D,290
17,4,O-B-D,290
17,5,O-B-D,290
17,6,O-B-D,290
17,7,O-B-D,290
17,8,O-A-D,290
17,9,O-B-D,290
17,10,O-A-D,290
17,11,O-A-D,290
17,12,O-B-D,290
17,13,O-A-D,290
17,14,O-B-D,290
17,15,O-B-D,290
17,16,O-A-D,290
17,17,O-A-D,290
18,0,O-A-D,300
18,1,O-A-D,300
18,2,O-B-D,300
18,3,O-A-D,300
18,4,O-B-D,300
18,5,O-A-D,300
18,6,O-A-D,300
18,7,O-B-D,300
18,8,O-A-D,300
18,9,O-B-D,300
18,10,O-B-D,300
18,11,O-A-D,300
18,12,O-A-D,300
18,13,O-B-D,300
18,14,O-B-D,300
18,15,O-B-D,300
18,16,O-B-D,300
18,17,O-A-D,300
19,0,O-B-D,310
19,1,O-A-D,310
19,2,O-B-D,310
19,3,O-B-D,310
19,4,O-B-D,310
19,5,O-A-D,310
19,6,O-A-D,310
19,7,O-A-D,310
19,8,O-A-D,310
19,9,O-B-D,310
19,10,O-A-D,310
19,11,O-B-D,310
19,12,O-B-D,310
19,13,O-A-D,310
19,14,O-B-D,310
19,15,O-B-D,310
19,16,O-A-D,310
19,17,O-B-D,310
20,0,O-B-D,280
20,1,O-B-D,280
20,2,O-B-D,280
20,3,O-B-D,280
20,4,O-A-D,280
20,5,O-A-D,280
20,6,O-A-D,280
20,7,O-B-D,280
20,8,O-B-D,280
20,9,O-B-D,280
20,10,O-A-D,280
20,11,O-A-D,280
20,12,O-B-D,280
20,13,O-B-D,280
20,14,O-B-D,280
20,15,O-A-D,280
20,16,O-B-D,280
20,17,O-A-D,280
21,0,O-B-D,330
21,1,O-B-D,330
21,2,O-B-D,330
21,3,O-B-D,330
21,4,O-A-D,330
21,5,O-B-D,330
21,6,O-B-D,330
21,7,O-A-D,330
21,8,O-A-D,330
21,9,O-B-D,330
21,10,O-A-D,330
21,11,O-B-D,330
21,12,O-A-D,330
21,13,O-B-D,330
21,14,O-A-D,330
21,15,O-B-D,330
21,16,O-B-D,330
21,17,O-B-D,330
22,0,O-A-D,320
22,1,O-B-D,320
22,2,O-B-D,320
22,3,O-B-D,320
22,4,O-B-D,320
22,5,O-B-D,320
22,6,O-A-D,320
22,7,O-A-D,320
22,8,O-B-D,320
22,9,O-B-D,320
22,10,O-A-D,320
22,11,O-B-D,320
22,12,O-A-D,320
22,13,O-B-D,320
22,14,O-A-D,320
22,15,O-B-D,320
22,16,O-A-D,320
22,17,O-B-D,320
23,0,O-A-D,330
23,1,O-A-D,330
23,2,O-B-D,330
23,3,O-A-D,330
23,4,O-B-D,330
23,5,O-B-D,330
23,6,O-A-D,330
23,7,O-B-D,330
23,8,O-B-D,330
23,9,O-A-D,330
23,10,O-A-D,330
23,11,O-B-D,330
23,12,O-B-D,330
23,13,O-B-D,330
23,14,O-B-D,330
23,15,O-B-D,330
23,16,O-B-D,330
23,17,O-B-D,330
24,0,O-A-D,290
24,1,O-B-D,290
24,2,O-A-D,290
24,3,O-A-D,290
24,4,O-A-D,290
24,5,O-A-D,290
24,6,O-A-D,290
24,7,O-A-D,290
24,8,O-B-D,290
24,9,O-A-D,290
24,10,O-B-D,290
24,11,O-B-D,290
24,12,O-B-D,290
24,13,O-B-D,290
24,14,O-A-D,290
24,15,O-B-D,290
24,16,O-A-D,290
24,17,O-B-D,290
25,0,O-A-D,300
25,1,O-A-D,300
25,2,O-B-D,300
25,3,O-A-D,300
25,4,O-B-D,300
25,5,O-B-D,300
25,6,O-A-D,300
25,7,O-A-D,300
25,8,O-B-D,300
25,9,O-A-D,300
25,10,O-B-D,300
25,11,O-B-D,300
25,12,O-A-D,300
25,13,O-B-D,300
25,14,O-A-D,300
25,15,O-A-D,300
25,16,O-B-D,300
25,17,O-B-D,300
26,0,O-B-D,270
26,1,O-B-D,270
26,2,O-B-D,270
26,3,O-B-D,270
26,4,O-A-D,270
26,5,O-B-D,270
26,6,O-A-D,270
26,7,O-B-D,270
26,8,O-A-D,270
26,9,O-B-D,270
26,10,O-A-D,270
26,11,O-B-D,270
26,12,O-B-D,270
26,13,O-B-D,270
26,14,O-B-D,270
26,15,O-B-D,270
26,16,O-A-D,270
26,17,O-A-D,270
27,0,O-A-D,310
27,1,O-A-D,310
27,2,O-B-D,310
27,3,O-A-D,310
27,4,O-A-D,310
27,5,O-A-D,310
27,6,O-B-D,310
27,7,O-B-D,310
27,8,O-B-D,310
27,9,O-B-D,310
27,10,O-B-D,310
27,11,O-A-D,310
27,12,O-A-D,310
27,13,O-A-D,310
27,14,O-B-D,310
27,15,O-B-D,310
27,16,O-A-D,310
27,17,O-A-D,310
28,0,O-B-D,300
28,1,O-A-D,300
28,2,O-B-D,300
28,3,O-B-D,300
28,4,O-B-D,300
28,5,O-A-D,300
28,6,O-A-D,300
28,7,O-A-D,300
28,8,O-B-D,300
28,9,O-A-D,300
28,10,O-A-D,300
28,11,O-B-D,300
28,12,O-B-D,300
28,13,O-B-D,300
28,14,O-B-D,300
28,15,O-A-D,300
28,16,O-A-D,300
28,17,O-A-D,300
29,0,O-B-D,260
29,1,O-B-D,260
29,2,O-B-D,260
29,3,O-A-D,260
29,4,O-B-D,260
29,5,O-B-D,260
29,6,O-A-D,260
29,7,O-B-D,260
29,8,O-B-D,260
29,9,O-B-D,260
29,10,O-B-D,260
29,11,O-A-D,260
29,12,O-A-D,260
29,13,O-B-D,260
29,14,O-B-D,260
29,15,O-B-D,260
29,16,O-B-D,260
29,17,O-A-D,260
30,0,O-B-D,310
30,1,O-B-D,310
30,2,O-B-D,310
30,3,O-B-D,310
30,4,O-B-D,310
30,5,O-A-D,310
30,6,O-A-D,310
30,7,O-B-D,310
30,8,O-A-D,310
30,9,O-A-D,310
30,10,O-A-D,310
30,11,O-B-D,310
30,12,O-B-D,310
30,13,O-A-D,310
30,14,O-B-D,310
30,15,O-A-D,310
30,16,O-A-D,310
30,17,O-B-D,310
31,0,O-B-D,320
31,1,O-A-D,320
31,2,O-A-D,320
31,3,O-B-D,320
31,4,O-B-D,320
31,5,O-A-D,320
31,6,O-B-D,320
31,7,O-B-D,320
31,8,O-A-D,320
31,9,O-A-D,320
31,10,O-A-D,320
31,11,O-A-D,320
31,12,O-B-D,320
31,13,O-B-D,320
31,14,O-A-D,320
31,15,O-A-D,320
31,16,O-A-D,320
31,17,O-A-D,320
32,0,O-B-D,340
32,1,O-B-D,340
32,2,O-B-D,340
32,3,O-B-D,340
32,4,O-B-D,340
32,5,O-B-D,340
32,6,O-A-D,340
32,7,O-B-D,340
32,8,O-B-D,340
32,9,O-B-D,340
32,10,O-A-D,340
32,11,O-B-D,340
32,12,O-B-D,340
32,13,O-B-D,340
32,14,O-A-D,340
32,15,O-A-D,340
32,16,O-A-D,340
32,17,O-B-D,340
33,0,O-A-D,280
33,1,O-B-D,280
33,2,O-B-D,280
33,3,O-B-D,280
33,4,O-B-D,280
33,5,O-A-D,280
33,6,O-A-D,280
33,7,O-B-D,280
33,8,O-B-D,280
33,9,O-B-D,280
33,10,O-B-D,280
33,11,O-A-D,280
33,12,O-A-D,280
33,13,O-B-D,280
33,14,O-A-D,280
33,15,O-B-D,280
33,16,O-B-D,280
33,17,O-A-D,280
34,0,O-B-D,310
34,1,O-B-D,310
34,2,O-B-D,310
34,3,O-A-D,310
34,4,O-A-D,310
34,5,O-A-D,310
34,6,O-B-D,310
34,7,O-A-D,310
34,8,O-B-D,310
34,9,O-B-D,310
34,10,O-A-D,310
34,11,O-A-D,310
34,12,O-B-D,310
34,13,O-B-D,310
34,14,O-A-D,310
34,15,O-A-D,310
34,16,O-B-D,310
34,17,O-B-D,310
35,0,O-B-D,300
35,1,O-A-D,300
35,2,O-B-D,300
35,3,O-A-D,300
35,4,O-A-D,300
35,5,O-B-D,300
35,6,O-B-D,300
35,7,O-B-D,300
35,8,O-A-D,300
35,9,O-B-D,300
35,10,O-A-D,300
35,11,O-B-D,300
35,12,O-A-D,300
35,13,O-A-D,300
35,14,O-B-D,300
35,15,O-A-D,300
35,16,O-A-D,300
35,17,O-B-D,300
36,0,O-B-D,290
36,1,O-B-D,290
36,2,O-A-D,290
36,3,O-B-D,290
36,4,O-A-D,290
36,5,O-A-D,290
36,6,O-A-D,290
36,7,O-A-D,290
36,8,O-A-D,290
36,9,O-A-D,290
36,10,O-B-D,290
36,11,O-B-D,290
36,12,O-A-D,290
36,13,O-B-D,290
36,14,O-B-D,290
36,15,O-A-D,290
36,16,O-A-D,290
36,17,O-B-D,290
37,0,O-A-D,300
37,1,O-B-D,300
37,2,O-B-D,300
37,3,O-B-D,300
37,4,O-A-D,300
37,5,O-A-D,300
