Round,Agent,Route,Payoff,Regret
1,0,O-R-D,20,140
2,0,O-L-D,10,180
3,0,O-R-D,10,160
4,0,O-L-D,10,180
5,0,O-L-R-D,140,0
6,0,O-L-D,10,170
7,0,O-R-D,10,150
8,0,O-L-D,10,160
9,0,O-R-D,10,140
10,0,O-L-D,10,190
11,0,O-R-D,10,100
12,0,O-L-D,10,190
13,0,O-R-D,10,120
14,0,O-L-D,10,180
15,0,O-R-D,10,130
16,0,O-L-D,10,200
17,0,O-R-D,10,140
18,0,O-L-D,10,170
19,0,O-R-D,10,150
20,0,O-L-D,10,170
21,0,O-R-D,10,150
22,0,O-L-D,10,170
23,0,O-R-D,10,150
24,0,O-L-D,10,160
25,0,O-R-D,10,150
26,0,O-L-D,10,150
27,0,O-R-D,10,150
28,0,O-L-D,10,150
29,0,O-R-D,10,160
30,0,O-L-D,10,160
31,0,O-R-D,10,150
32,0,O-L-D,10,150
33,0,O-R-D,10,150
34,0,O-L-D,10,160
35,0,O-R-D,10,150
36,0,O-L-D,10,150
37,0,O-R-D,10,160
38,0,O-L-D,10,150
39,0,O-R-D,10,150
40,0,O-L-D,10,150
1,1,O-R-D,20,140
2,1,O-L-D,10,180
3,1,O-R-D,10,160
4,1,O-L-D,10,180
5,1,O-R-D,10,120
6,1,O-L-D,10,170
7,1,O-R-D,10,150
8,1,O-L-D,10,160
9,1,O-R-D,10,140
10,1,O-L-D,10,190
11,1,O-R-D,10,100
12,1,O-L-D,10,190
13,1,O-R-D,10,120
14,1,O-L-D,10,180
15,1,O-R-D,10,130
16,1,O-L-D,10,200
17,1,O-R-D,10,140
18,1,O-L-D,10,170
19,1,O-R-D,10,150
20,1,O-L-D,10,170
21,1,O-R-D,10,150
22,1,O-L-D,10,170
23,1,O-R-D,10,150
24,1,O-L-D,10,160
25,1,O-R-D,10,150
26,1,O-L-D,10,150
27,1,O-R-D,10,150
28,1,O-L-D,10,150
29,1,O-R-D,10,160
30,1,O-L-D,10,160
31,1,O-R-D,10,150
32,1,O-L-D,10,150
33,1,O-R-D,10,150
34,1,O-L-D,10,160
35,1,O-R-D,10,150
36,1,O-L-D,10,150
37,1,O-R-D,10,160
38,1,O-L-D,10,150
39,1,O-R-D,10,150
40,1,O-L-D,10,150
1,2,O-R-D,20,140
2,2,O-L-D,10,180
3,2,O-R-D,10,160
4,2,O-L-D,10,180
5,2,O-L-R-D,140,0
6,2,O-L-R-D,190,0
7,2,O-L-R-D,170,0
8,2,O-L-R-D,180,0
9,2,O-L-R-D,160,0
10,2,O-L-D,10,190
11,2,O-L-R-D,120,0
12,2,O-L-D,10,190
13,2,O-L-R-D,140,0
14,2,O-L-R-D,200,0
15,2,O-L-R-D,150,0
16,2,O-L-D,10,200
17,2,O-R-D,10,140
18,2,O-L-R-D,190,0
19,2,O-L-R-D,170,0
20,2,O-L-R-D,190,0
21,2,O-L-R-D,170,0
22,2,O-L-D,10,170
23,2,O-L-R-D,170,0
24,2,O-L-R-D,180,0
25,2,O-L-R-D,170,0
26,2,O-L-R-D,170,0
27,2,O-L-R-D,170,0
28,2,O-L-R-D,170,0
29,2,O-L-R-D,180,0
30,2,O-L-R-D,180,0
31,2,O-L-R-D,170,0
32,2,O-L-R-D,170,0
33,2,O-L-R-D,170,0
34,2,O-L-R-D,180,0
35,2,O-L-R-D,170,0
36,2,O-L-R-D,170,0
37,2,O-L-R-D,180,0
38,2,O-L-R-D,170,0
39,2,O-L-R-D,170,0
40,2,O-L-R-D,170,0
1,3,O-L-D,130,30
2,3,O-L-D,10,180
3,3,O-L-R-D,180,0
4,3,O-L-R-D,200,0
5,3,O-L-R-D,140,0
6,3,O-L-D,10,170
7,3,O-L-R-D,170,0
8,3,O-L-R-D,180,0
9,3,O-L-R-D,160,0
10,3,O-L-D,10,190
11,3,O-L-R-D,120,0
12,3,O-L-D,10,190
13,3,O-L-R-D,140,0
14,3,O-L-D,10,180
15,3,O-L-R-D,150,0
16,3,O-L-D,10,200
17,3,O-L-R-D,160,0
18,3,O-L-D,10,170
19,3,O-L-R-D,170,0
20,3,O-L-D,10,170
21,3,O-L-R-D,170,0
22,3,O-L-R-D,190,0
23,3,O-L-R-D,170,0
24,3,O-L-R-D,180,0
25,3,O-L-R-D,170,0
26,3,O-L-R-D,170,0
27,3,O-L-R-D,170,0
28,3,O-L-R-D,170,0
29,3,O-L-R-D,180,0
30,3,O-L-R-D,180,0
31,3,O-L-R-D,170,0
32,3,O-L-R-D,170,0
33,3,O-L-R-D,170,0
34,3,O-L-R-D,180,0
35,3,O-L-R-D,170,0
36,3,O-L-R-D,170,0
37,3,O-L-R-D,180,0
38,3,O-L-R-D,170,0
39,3,O-L-R-D,170,0
40,3,O-L-R-D,170,0
1,4,O-R-D,20,140
2,4,O-L-D,10,180
3,4,O-R-D,10,160
4,4,O-L-D,10,180
5,4,O-R-D,10,120
6,4,O-L-D,10,170
7,4,O-R-D,10,150
8,4,O-L-D,10,160
9,4,O-R-D,10,140
10,4,O-L-D,10,190
11,4,O-L-R-D,120,0
12,4,O-L-R-D,210,0
13,4,O-L-R-D,140,0
14,4,O-L-D,10,180
15,4,O-R-D,10,130
16,4,O-L-D,10,200
17,4,O-L-R-D,160,0
18,4,O-L-R-D,190,0
19,4,O-L-R-D,170,0
20,4,O-L-R-D,190,0
21,4,O-L-R-D,170,0
22,4,O-L-R-D,190,0
23,4,O-L-R-D,170,0
24,4,O-L-R-D,180,0
25,4,O-L-R-D,170,0
26,4,O-L-R-D,170,0
27,4,O-L-R-D,170,0
28,4,O-L-R-D,170,0
29,4,O-L-R-D,180,0
30,4,O-L-R-D,180,0
31,4,O-L-R-D,170,0
32,4,O-L-R-D,170,0
33,4,O-L-R-D,170,0
34,4,O-L-R-D,180,0
35,4,O-L-R-D,170,0
36,4,O-L-R-D,170,0
37,4,O-L-R-D,180,0
38,4,O-L-R-D,170,0
39,4,O-L-R-D,170,0
40,4,O-L-R-D,170,0
1,5,O-L-R-D,170,0
2,5,O-L-D,10,180
3,5,O-L-R-D,180,0
4,5,O-L-D,10,180
5,5,O-R-D,10,120
6,5,O-L-D,10,170
7,5,O-R-D,10,150
8,5,O-L-D,10,160
9,5,O-L-R-D,160,0
10,5,O-L-D,10,190
11,5,O-L-R-D,120,0
12,5,O-L-D,10,190
13,5,O-R-D,10,120
14,5,O-L-D,10,180
15,5,O-L-R-D,150,0
16,5,O-L-D,10,200
17,5,O-R-D,10,140
18,5,O-L-D,10,170
19,5,O-R-D,10,150
20,5,O-L-D,10,170
21,5,O-R-D,10,150
22,5,O-L-D,10,170
23,5,O-R-D,10,150
24,5,O-L-D,10,160
25,5,O-R-D,10,150
26,5,O-L-D,10,150
27,5,O-R-D,10,150
28,5,O-L-D,10,150
29,5,O-R-D,10,160
30,5,O-L-D,10,160
31,5,O-R-D,10,150
32,5,O-L-D,10,150
33,5,O-R-D,10,150
34,5,O-L-D,10,160
35,5,O-R-D,10,150
36,5,O-L-D,10,150
37,5,O-R-D,10,160
38,5,O-L-D,10,150
39,5,O-R-D,10,150
40,5,O-L-D,10,150
1,6,O-R-D,20,140
2,6,O-L-D,10,180
3,6,O-R-D,10,160
4,6,O-L-D,10,180
5,6,O-R-D,10,120
6,6,O-L-D,10,170
7,6,O-R-D,10,150
8,6,O-L-D,10,160
9,6,O-R-D,10,140
10,6,O-L-D,10,190
11,6,O-R-D,10,100
12,6,O-L-D,10,190
13,6,O-R-D,10,120
14,6,O-L-D,10,180
15,6,O-R-D,10,130
16,6,O-L-D,10,200
17,6,O-R-D,10,140
18,6,O-L-D,10,170
19,6,O-R-D,10,150
20,6,O-L-D,10,170
21,6,O-R-D,10,150
22,6,O-L-D,10,170
23,6,O-R-D,10,150
24,6,O-L-D,10,160
25,6,O-R-D,10,150
26,6,O-L-D,10,150
27,6,O-R-D,10,150
28,6,O-L-D,10,150
29,6,O-R-D,10,160
30,6,O-L-D,10,160
31,6,O-R-D,10,150
32,6,O-L-D,10,150
33,6,O-R-D,10,150
34,6,O-L-D,10,160
35,6,O-R-D,10,150
36,6,O-L-D,10,150
37,6,O-R-D,10,160
38,6,O-L-D,10,150
39,6,O-R-D,10,150
40,6,O-L-D,10,150
