Round,Agent,Route,Payoff,Regret
1,0,O-L-D,140,170
2,0,O-L-R-D,300,0
3,0,O-L-R-D,300,0
4,0,O-L-R-D,300,0
5,0,O-L-R-D,300,0
6,0,O-L-R-D,300,0
7,0,O-L-R-D,300,0
8,0,O-L-R-D,300,0
9,0,O-L-R-D,300,0
10,0,O-L-R-D,300,0
11,0,O-L-R-D,300,0
12,0,O-L-R-D,300,0
13,0,O-L-R-D,300,0
14,0,O-L-R-D,300,0
15,0,O-L-R-D,300,0
16,0,O-L-R-D,300,0
17,0,O-L-R-D,300,0
18,0,O-L-R-D,300,0
19,0,O-L-R-D,300,0
20,0,O-L-R-D,300,0
21,0,O-L-R-D,300,0
22,0,O-L-R-D,300,0
23,0,O-L-R-D,300,0
24,0,O-L-R-D,300,0
25,0,O-L-R-D,300,0
26,0,O-L-R-D,300,0
27,0,O-L-R-D,300,0
28,0,O-L-R-D,300,0
29,0,O-L-R-D,300,0
30,0,O-L-R-D,300,0
1,1,O-L-R-D,320,0
2,1,O-L-R-D,300,0
3,1,O-L-R-D,300,0
4,1,O-L-R-D,300,0
5,1,O-L-R-D,300,0
6,1,O-L-R-D,300,0
7,1,O-L-R-D,300,0
8,1,O-L-R-D,300,0
9,1,O-L-R-D,300,0
10,1,O-L-R-D,300,0
11,1,O-L-R-D,300,0
12,1,O-L-R-D,300,0
13,1,O-L-R-D,300,0
14,1,O-L-R-D,300,0
15,1,O-L-R-D,300,0
16,1,O-L-R-D,300,0
17,1,O-L-R-D,300,0
18,1,O-L-R-D,300,0
19,1,O-L-R-D,300,0
20,1,O-L-R-D,300,0
21,1,O-L-R-D,300,0
22,1,O-L-R-D,300,0
23,1,O-L-R-D,300,0
24,1,O-L-R-D,300,0
25,1,O-L-R-D,300,0
26,1,O-L-R-D,300,0
27,1,O-L-R-D,300,0
28,1,O-L-R-D,300,0
29,1,O-L-R-D,300,0
30,1,O-L-R-D,300,0
1,2,O-L-D,140,170
2,2,O-L-R-D,300,0
3,2,O-L-R-D,300,0
4,2,O-L-R-D,300,0
5,2,O-L-R-D,300,0
6,2,O-L-R-D,300,0
7,2,O-L-R-D,300,0
8,2,O-L-R-D,300,0
9,2,O-L-R-D,300,0
10,2,O-L-R-D,300,0
11,2,O-L-R-D,300,0
12,2,O-L-R-D,300,0
13,2,O-L-R-D,300,0
14,2,O-L-R-D,300,0
15,2,O-L-R-D,300,0
16,2,O-L-R-D,300,0
17,2,O-L-R-D,300,0
18,2,O-L-R-D,300,0
19,2,O-L-R-D,300,0
20,2,O-L-R-D,300,0
21,2,O-L-R-D,300,0
22,2,O-L-R-D,300,0
23,2,O-L-R-D,300,0
24,2,O-L-R-D,300,0
25,2,O-L-R-D,300,0
26,2,O-L-R-D,300,0
27,2,O-L-R-D,300,0
28,2,O-L-R-D,300,0
29,2,O-L-R-D,300,0
30,2,O-L-R-D,300,0
1,3,O-L-R-D,320,0
2,3,O-L-R-D,300,0
3,3,O-L-R-D,300,0
4,3,O-L-R-D,300,0
5,3,O-L-R-D,300,0
6,3,O-L-R-D,300,0
7,3,O-L-R-D,300,0
8,3,O-L-R-D,300,0
9,3,O-L-R-D,300,0
10,3,O-L-R-D,300,0
11,3,O-L-R-D,300,0
12,3,O-L-R-D,300,0
13,3,O-L-R-D,300,0
14,3,O-L-R-D,300,0
15,3,O-L-R-D,300,0
16,3,O-L-R-D,300,0
17,3,O-L-R-D,300,0
18,3,O-L-R-D,300,0
19,3,O-L-R-D,300,0
20,3,O-L-R-D,300,0
21,3,O-L-R-D,300,0
22,3,O-L-R-D,300,0
23,3,O-L-R-D,300,0
24,3,O-L-R-D,300,0
25,3,O-L-R-D,300,0
26,3,O-L-R-D,300,0
27,3,O-L-R-D,300,0
28,3,O-L-R-D,300,0
29,3,O-L-R-D,300,0
30,3,O-L-R-D,300,0
1,4,O-L-R-D,320,0
2,4,O-L-R-D,300,0
3,4,O-L-R-D,300,0
4,4,O-L-R-D,300,0
5,4,O-L-R-D,300,0
6,4,O-L-R-D,300,0
7,4,O-L-R-D,300,0
8,4,O-L-R-D,300,0
9,4,O-L-R-D,300,0
10,4,O-L-R-D,300,0
11,4,O-L-R-D,300,0
12,4,O-L-R-D,300,0
13,4,O-L-R-D,300,0
14,4,O-L-R-D,300,0
15,4,O-L-R-D,300,0
16,4,O-L-R-D,300,0
17,4,O-L-R-D,300,0
18,4,O-L-R-D,300,0
19,4,O-L-R-D,300,0
20,4,O-L-R-D,300,0
21,4,O-L-R-D,300,0
22,4,O-L-R-D,300,0
23,4,O-L-R-D,300,0
24,4,O-L-R-D,300,0
25,4,O-L-R-D,300,0
26,4,O-L-R-D,300,0
27,4,O-L-R-D,300,0
28,4,O-L-R-D,300,0
29,4,O-L-R-D,300,0
30,4,O-L-R-D,300,0
