Round,Agent,Route,Payoff,Regret
1,0,O-L-R-D,40,0
2,0,O-R-D,60,150
3,0,O-L-R-D,120,0
4,0,O-L-R-D,100,0
5,0,O-R-D,70,70
6,0,O-L-R-D,50,0
7,0,O-R-D,40,170
8,0,O-L-R-D,120,0
9,0,O-L-R-D,120,0
10,0,O-L-R-D,90,0
11,0,O-L-R-D,180,0
12,0,O-L-R-D,120,0
13,0,O-L-R-D,110,0
14,0,O-L-R-D,100,0
15,0,O-L-R-D,150,0
16,0,O-L-R-D,110,0
17,0,O-L-R-D,90,0
18,0,O-R-D,80,90
19,0,O-L-R-D,60,0
20,0,O-R-D,50,150
21,0,O-L-R-D,130,0
22,0,O-L-R-D,110,0
23,0,O-L-R-D,120,0
24,0,O-L-R-D,110,0
25,0,O-L-R-D,90,0
26,0,O-R-D,50,140
27,0,O-L-R-D,110,0
28,0,O-L-R-D,110,0
29,0,O-L-R-D,90,0
30,0,O-R-D,60,140
31,0,O-L-R-D,120,0
32,0,O-L-R-D,100,0
33,0,O-R-D,70,90
34,0,O-L-R-D,60,0
35,0,O-R-D,50,150
36,0,O-L-R-D,120,0
37,0,O-L-R-D,100,0
38,0,O-L-R-D,120,0
39,0,O-L-R-D,50,0
40,0,O-R-D,50,160
1,1,O-L-R-D,40,0
2,1,O-R-D,60,150
3,1,O-L-R-D,120,0
4,1,O-L-R-D,100,0
5,1,O-L-R-D,150,0
6,1,O-L-R-D,50,0
7,1,O-R-D,40,170
8,1,O-L-R-D,120,0
9,1,O-L-R-D,120,0
10,1,O-L-R-D,90,0
11,1,O-R-D,40,130
12,1,O-L-R-D,120,0
13,1,O-L-R-D,110,0
14,1,O-L-R-D,100,0
15,1,O-L-D,90,50
16,1,O-L-R-D,110,0
17,1,O-L-R-D,90,0
18,1,O-R-D,80,90
19,1,O-L-R-D,60,0
20,1,O-R-D,50,150
21,1,O-L-R-D,130,0
22,1,O-L-R-D,110,0
23,1,O-L-R-D,120,0
24,1,O-L-R-D,110,0
25,1,O-L-R-D,90,0
26,1,O-R-D,50,140
27,1,O-L-R-D,110,0
28,1,O-L-R-D,110,0
29,1,O-L-R-D,90,0
30,1,O-R-D,60,140
31,1,O-L-R-D,120,0
32,1,O-L-R-D,100,0
33,1,O-R-D,70,90
34,1,O-L-R-D,60,0
35,1,O-R-D,50,150
36,1,O-L-R-D,120,0
37,1,O-L-R-D,100,0
38,1,O-R-D,50,60
39,1,O-L-R-D,50,0
40,1,O-R-D,50,160
1,2,O-L-R-D,40,0
2,2,O-R-D,60,150
3,2,O-L-D,30,80
4,2,O-R-D,20,70
5,2,O-L-D,60,80
6,2,O-L-R-D,50,0
7,2,O-R-D,40,170
8,2,O-L-D,10,100
