Round,Agent,Route,Cost
1,0,O-L-R-D,350
1,1,O-L-R-D,350
1,2,O-L-R-D,350
1,3,O-L-R-D,350
1,4,O-L-R-D,350
1,5,O-L-R-D,350
1,6,O-L-R-D,350
1,7,O-L-D,390
1,8,O-L-R-D,350
1,9,O-L-R-D,350
1,10,O-L-R-D,350
1,11,O-L-R-D,350
1,12,O-L-R-D,350
1,13,O-L-R-D,350
1,14,O-L-R-D,350
1,15,O-L-R-D,350
1,16,O-L-R-D,350
1,17,O-L-R-D,350
2,0,O-L-R-D,270
2,1,O-L-R-D,270
2,2,O-L-R-D,270
2,3,O-L-D,330
2,4,O-L-D,330
2,5,O-L-R-D,270
2,6,O-L-R-D,270
2,7,O-R-D,360
2,8,O-R-D,360
2,9,O-L-R-D,270
2,10,O-L-R-D,270
2,11,O-R-D,360
2,12,O-R-D,360
2,13,O-R-D,360
2,14,O-L-R-D,270
2,15,O-R-D,360
2,16,O-L-D,330
2,17,O-L-R-D,270
3,0,O-L-R-D,330
3,1,O-L-R-D,330
3,2,O-L-R-D,330
3,3,O-L-D,380
3,4,O-L-R-D,330
3,5,O-L-R-D,330
3,6,O-L-R-D,330
3,7,O-L-D,380
3,8,O-L-R-D,330
3,9,O-L-R-D,330
3,10,O-L-R-D,330
3,11,O-L-R-D,330
3,12,O-L-R-D,330
3,13,O-L-R-D,330
3,14,O-L-R-D,330
3,15,O-L-R-D,330
3,16,O-R-D,370
3,17,O-L-R-D,330
4,0,O-L-R-D,300
4,1,O-L-R-D,300
4,2,O-L-R-D,300
4,3,O-L-D,360
4,4,O-L-R-D,300
4,5,O-L-R-D,300
4,6,O-L-R-D,300
4,7,O-L-D,360
4,8,O-L-R-D,300
4,9,O-L-R-D,300
4,10,O-L-D,360
4,11,O-L-R-D,300
4,12,O-L-R-D,300
4,13,O-R-D,360
4,14,O-L-R-D,300
4,15,O-R-D,360
4,16,O-R-D,360
4,17,O-L-R-D,300
5,0,O-L-R-D,310
5,1,O-L-R-D,310
5,2,O-L-R-D,310
5,3,O-L-D,370
5,4,O-L-R-D,310
5,5,O-L-R-D,310
5,6,O-L-R-D,310
5,7,O-L-D,370
5,8,O-L-R-D,310
5,9,O-L-R-D,310
5,10,O-L-R-D,310
5,11,O-L-R-D,310
5,12,O-L-R-D,310
5,13,O-R-D,360
5,14,O-L-R-D,310
5,15,O-R-D,360
5,16,O-L-D,370
5,17,O-L-R-D,310
6,0,O-L-R-D,310
6,1,O-L-R-D,310
6,2,O-L-R-D,310
6,3,O-L-D,370
6,4,O-L-R-D,310
6,5,O-L-R-D,310
6,6,O-L-R-D,310
6,7,O-L-D,370
6,8,O-L-R-D,310
6,9,O-L-R-D,310
6,10,O-L-R-D,310
6,11,O-L-R-D,310
6,12,O-L-R-D,310
6,13,O-R-D,360
6,14,O-L-R-D,310
6,15,O-R-D,360
6,16,O-L-D,370
6,17,O-L-R-D,310
7,0,O-L-R-D,300
7,1,O-L-R-D,300
7,2,O-L-R-D,300
7,3,O-L-D,360
7,4,O-L-R-D,300
7,5,O-L-R-D,300
7,6,O-L-R-D,300
7,7,O-L-D,360
7,8,O-L-R-D,300
7,9,O-L-R-D,300
7,10,O-L-D,360
7,11,O-L-R-D,300
7,12,O-L-R-D,300
7,13,O-R-D,360
7,14,O-L-R-D,300
7,15,O-R-D,360
7,16,O-R-D,360
7,17,O-L-R-D,300
8,0,O-L-R-D,300
8,1,O-L-R-D,300
8,2,O-L-R-D,300
8,3,O-L-D,370
8,4,O-L-R-D,300
8,5,O-L-R-D,300
8,6,O-L-R-D,300
8,7,O-L-D,370
8,8,O-L-R-D,300
8,9,O-L-R-D,300
8,10,O-L-D,370
8,11,O-L-R-D,300
8,12,O-L-R-D,300
8,13,O-R-D,350
8,14,O-L-R-D,300
8,15,O-R-D,350
8,16,O-L-D,370
8,17,O-L-R-D,300
9,0,O-L-R-D,300
9,1,O-L-R-D,300
9,2,O-L-R-D,300
9,3,O-L-D,350
9,4,O-L-R-D,300
9,5,O-L-R-D,300
9,6,O-L-R-D,300
9,7,O-L-D,350
9,8,O-L-R-D,300
9,9,O-L-R-D,300
9,10,O-R-D,370
9,11,O-L-R-D,300
9,12,O-L-R-D,300
9,13,O-R-D,370
9,14,O-L-R-D,300
9,15,O-R-D,370
9,16,O-R-D,370
9,17,O-L-R-D,300
10,0,O-L-R-D,300
10,1,O-L-R-D,300
10,2,O-L-R-D,300
10,3,O-L-D,380
10,4,O-L-R-D,300
10,5,O-L-R-D,300
10,6,O-L-R-D,300
10,7,O-L-D,380
10,8,O-L-R-D,300
10,9,O-L-R-D,300
10,10,O-L-D,380
10,11,O-L-R-D,300
10,12,O-L-R-D,300
10,13,O-L-D,380
10,14,O-L-R-D,300
10,15,O-R-D,340
10,16,O-L-D,380
10,17,O-L-R-D,300
