Round,Agent,Route,Cost
1,0,O-A-D,390
1,1,O-A-D,390
1,2,O-A-D,390
1,3,O-A-D,390
1,4,O-A-D,390
1,5,O-A-D,390
1,6,O-A-D,390
1,7,O-A-D,390
1,8,O-A-D,390
1,9,O-A-D,390
1,10,O-A-D,390
1,11,O-A-D,390
1,12,O-A-D,390
1,13,O-A-D,390
1,14,O-A-D,390
1,15,O-A-D,390
1,16,O-A-D,390
1,17,O-A-D,390
2,0,O-B-D,390
2,1,O-B-D,390
2,2,O-B-D,390
2,3,O-B-D,390
2,4,O-B-D,390
2,5,O-B-D,390
2,6,O-B-D,390
2,7,O-B-D,390
2,8,O-B-D,390
2,9,O-B-D,390
2,10,O-B-D,390
2,11,O-B-D,390
2,12,O-B-D,390
2,13,O-B-D,390
2,14,O-B-D,390
2,15,O-B-D,390
2,16,O-B-D,390
2,17,O-B-D,390
3,0,O-A-D,390
3,1,O-A-D,390
3,2,O-A-D,390
3,3,O-A-D,390
3,4,O-A-D,390
3,5,O-A-D,390
3,6,O-A-D,390
3,7,O-A-D,390
3,8,O-A-D,390
3,9,O-A-D,390
3,10,O-A-D,390
3,11,O-A-D,390
3,12,O-A-D,390
3,13,O-A-D,390
3,14,O-A-D,390
3,15,O-A-D,390
3,16,O-A-D,390
3,17,O-A-D,390
