Round,Agent,Route,Cost
1,0,O-B-D,370
1,1,O-A-B-D,310
1,2,O-A-B-D,310
1,3,O-A-B-D,310
1,4,O-A-B-D,310
1,5,O-A-B-D,310
1,6,O-B-D,370
1,7,O-A-D,360
1,8,O-A-B-D,310
1,9,O-A-B-D,310
1,10,O-A-B-D,310
1,11,O-B-D,370
1,12,O-A-B-D,310
1,13,O-A-B-D,310
1,14,O-A-B-D,310
1,15,O-A-B-D,310
1,16,O-A-D,360
1,17,O-A-B-D,310
2,0,O-A-D,340
2,1,O-B-D,270
2,2,O-A-D,340
2,3,O-A-D,340
2,4,O-B-D,270
2,5,O-A-D,340
2,6,O-A-D,340
2,7,O-B-D,270
2,8,O-A-D,340
2,9,O-B-D,270
2,10,O-A-D,340
2,11,O-A-D,340
2,12,O-B-D,270
2,13,O-A-D,340
2,14,O-A-D,340
2,15,O-A-D,340
2,16,O-A-D,340
2,17,O-A-B-D,190
3,0,O-A-D,370
3,1,O-A-B-D,320
3,2,O-A-B-D,320
3,3,O-A-D,370
3,4,O-A-B-D,320
3,5,O-A-B-D,320
3,6,O-A-B-D,320
3,7,O-A-B-D,320
3,8,O-A-B-D,320
3,9,O-A-B-D,320
3,10,O-A-B-D,320
3,11,O-A-B-D,320
3,12,O-B-D,370
3,13,O-A-B-D,320
3,14,O-B-D,370
3,15,O-A-B-D,320
3,16,O-A-B-D,320
3,17,O-A-B-D,320
4,0,O-B-D,270
4,1,O-A-D,340
4,2,O-A-D,340
4,3,O-A-D,340
4,4,O-A-D,340
4,5,O-A-D,340
4,6,O-A-D,340
4,7,O-B-D,270
4,8,O-B-D,270
4,9,O-A-D,340
4,10,O-B-D,270
4,11,O-A-D,340
4,12,O-A-D,340
4,13,O-B-D,270
4,14,O-A-D,340
4,15,O-A-D,340
4,16,O-A-D,340
4,17,O-A-B-D,190
5,0,O-B-D,390
5,1,O-A-B-D,330
5,2,O-A-B-D,330
5,3,O-A-B-D,330
5,4,O-A-B-D,330
5,5,O-A-B-D,330
5,6,O-A-B-D,330
5,7,O-A-B-D,330
5,8,O-A-B-D,330
5,9,O-A-B-D,330
5,10,O-B-D,390
5,11,O-B-D,390
5,12,O-A-B-D,330
5,13,O-A-B-D,330
5,14,O-A-B-D,330
5,15,O-A-B-D,330
5,16,O-A-B-D,330
5,17,O-A-B-D,330
6,0,O-A-D,380
6,1,O-A-D,380
6,2,O-A-D,380
6,3,O-A-D,380
6,4,O-A-D,380
6,5,O-A-D,380
6,6,O-A-D,380
6,7,O-B-D,230
6,8,O-A-D,380
6,9,O-A-D,380
6,10,O-A-D,380
6,11,O-A-D,380
6,12,O-A-D,380
6,13,O-A-D,380
6,14,O-A-D,380
6,15,O-A-D,380
6,16,O-A-D,380
6,17,O-A-B-D,190
7,0,O-A-B-D,340
7,1,O-A-B-D,340
7,2,O-A-B-D,340
7,3,O-A-B-D,340
7,4,O-A-B-D,340
7,5,O-A-B-D,340
7,6,O-A-B-D,340
7,7,O-B-D,390
7,8,O-A-B-D,340
7,9,O-A-B-D,340
7,10,O-B-D,390
7,11,O-A-B-D,340
7,12,O-A-B-D,340
7,13,O-A-B-D,340
7,14,O-A-B-D,340
7,15,O-A-B-D,340
7,16,O-A-B-D,340
7,17,O-A-B-D,340
8,0,O-A-D,390
8,1,O-A-D,390
8,2,O-A-D,390
8,3,O-A-D,390
8,4,O-A-D,390
8,5,O-A-D,390
8,6,O-A-D,390
8,7,O-A-D,390
8,8,O-A-D,390
8,9,O-A-D,390
8,10,O-A-D,390
8,11,O-A-D,390
8,12,O-A-D,390
8,13,O-A-D,390
8,14,O-A-D,390
8,15,O-A-D,390
8,16,O-A-D,390
8,17,O-A-B-D,190
9,0,O-B-D,390
9,1,O-B-D,390
9,2,O-A-B-D,250
9,3,O-B-D,390
9,4,O-A-B-D,250
9,5,O-A-B-D,250
9,6,O-A-B-D,250
9,7,O-B-D,390
9,8,O-B-D,390
9,9,O-B-D,390
9,10,O-B-D,390
9,11,O-A-B-D,250
9,12,O-B-D,390
9,13,O-B-D,390
9,14,O-B-D,390
9,15,O-A-B-D,250
9,16,O-B-D,390
9,17,O-A-B-D,250
10,0,O-A-D,390
10,1,O-A-D,390
10,2,O-A-D,390
10,3,O-A-D,390
10,4,O-A-D,390
10,5,O-A-D,390
10,6,O-A-D,390
10,7,O-A-D,390
10,8,O-A-D,390
10,9,O-A-B-D,220
10,10,O-A-B-D,220
10,11,O-A-D,390
10,12,O-A-D,390
10,13,O-A-D,390
10,14,O-A-B-D,220
10,15,O-A-D,390
10,16,O-A-D,390
10,17,O-A-B-D,220
