Round,Agent,Route,Cost
1,0,O-B-D,280
1,1,O-B-D,280
1,2,O-B-D,280
1,3,O-B-D,280
1,4,O-B-D,280
1,5,O-A-D,280
1,6,O-A-D,280
1,7,O-B-D,280
1,8,O-A-D,280
1,9,O-B-D,280
1,10,O-A-D,280
1,11,O-B-D,280
1,12,O-A-D,280
1,13,O-B-D,280
1,14,O-B-D,280
1,15,O-B-D,280
1,16,O-A-D,280
1,17,O-A-D,280
2,0,O-A-D,260
2,1,O-B-D,260
2,2,O-A-D,260
2,3,O-B-D,260
2,4,O-A-D,260
2,5,O-A-D,260
2,6,O-A-D,260
2,7,O-A-D,260
2,8,O-A-D,260
2,9,O-A-D,260
2,10,O-A-D,260
2,11,O-A-D,260
2,12,O-A-D,260
2,13,O-A-D,260
2,14,O-B-D,260
2,15,O-A-D,260
2,16,O-B-D,260
2,17,O-B-D,260
3,0,O-A-D,320
3,1,O-B-D,320
3,2,O-B-D,320
3,3,O-A-D,320
3,4,O-B-D,320
3,5,O-B-D,320
3,6,O-A-D,320
3,7,O-A-D,320
3,8,O-A-D,320
3,9,O-B-D,320
3,10,O-B-D,320
3,11,O-A-D,320
3,12,O-A-D,320
3,13,O-A-D,320
3,14,O-A-D,320
3,15,O-A-D,320
3,16,O-B-D,320
3,17,O-A-D,320
4,0,O-A-D,300
4,1,O-A-D,300
4,2,O-B-D,300
4,3,O-A-D,300
4,4,O-B-D,300
4,5,O-A-D,300
4,6,O-B-D,300
4,7,O-B-D,300
4,8,O-B-D,300
4,9,O-B-D,300
4,10,O-A-D,300
4,11,O-B-D,300
4,12,O-A-D,300
4,13,O-B-D,300
4,14,O-A-D,300
4,15,O-A-D,300
4,16,O-B-D,300
4,17,O-A-D,300
5,0,O-B-D,310
5,1,O-B-D,310
5,2,O-A-D,310
5,3,O-B-D,310
5,4,O-A-D,310
5,5,O-A-D,310
5,6,O-B-D,310
5,7,O-B-D,310
5,8,O-B-D,310
5,9,O-A-D,310
5,10,O-A-D,310
5,11,O-B-D,310
5,12,O-A-D,310
5,13,O-A-D,310
5,14,O-A-D,310
5,15,O-B-D,310
5,16,O-B-D,310
