Round,Agent,Route,Cost
1,0,O-L-D,300
1,1,O-L-D,300
1,2,O-R-D,300
1,3,O-L-D,300
1,4,O-R-D,300
1,5,O-R-D,300
1,6,O-R-D,300
1,7,O-R-D,300
1,8,O-L-D,300
1,9,O-R-D,300
1,10,O-L-D,300
1,11,O-L-D,300
1,12,O-R-D,300
1,13,O-L-D,300
1,14,O-R-D,300
1,15,O-L-D,300
1,16,O-R-D,300
1,17,O-L-D,300
2,0,O-R-D,330
2,1,O-R-D,330
2,2,O-L-D,270
2,3,O-R-D,330
2,4,O-L-D,270
2,5,O-L-D,270
2,6,O-L-D,270
2,7,O-L-D,270
2,8,O-R-D,330
2,9,O-R-D,330
2,10,O-R-D,330
2,11,O-L-D,270
2,12,O-R-D,330
2,13,O-R-D,330
2,14,O-R-D,330
2,15,O-R-D,330
2,16,O-R-D,330
2,17,O-R-D,330
3,0,O-L-D,380
3,1,O-L-D,380
3,2,O-L-D,380
3,3,O-L-D,380
3,4,O-R-D,220
3,5,O-L-D,380
3,6,O-L-D,380
3,7,O-L-D,380
3,8,O-L-D,380
3,9,O-L-D,380
3,10,O-L-D,380
3,11,O-L-D,380
3,12,O-L-D,380
3,13,O-L-D,380
3,14,O-L-D,380
3,15,O-L-D,380
3,16,O-L-D,380
3,17,O-L-D,380
4,0,O-R-D,390
4,1,O-R-D,390
4,2,O-R-D,390
4,3,O-R-D,390
4,4,O-R-D,390
4,5,O-R-D,390
4,6,O-R-D,390
4,7,O-R-D,390
4,8,O-R-D,390
4,9,O-R-D,390
4,10,O-R-D,390
4,11,O-R-D,390
4,12,O-R-D,390
4,13,O-R-D,390
4,14,O-R-D,390
4,15,O-R-D,390
4,16,O-R-D,390
4,17,O-R-D,390
5,0,O-R-D,260
5,1,O-L-D,340
5,2,O-L-D,340
5,3,O-L-D,340
5,4,O-L-D,340
5,5,O-R-D,260
5,6,O-L-D,340
5,7,O-L-D,340
5,8,O-L-D,340
5,9,O-L-D,340
5,10,O-R-D,260
5,11,O-R-D,260
5,12,O-L-D,340
5,13,O-L-D,340
5,14,O-R-D,260
5,15,O-L-D,340
5,16,O-L-D,340
5,17,O-L-D,340
6,0,O-R-D,320
6,1,O-R-D,320
6,2,O-R-D,320
6,3,O-L-D,280
6,4,O-R-D,320
6,5,O-R-D,320
6,6,O-R-D,320
6,7,O-L-D,280
6,8,O-R-D,320
6,9,O-R-D,320
6,10,O-L-D,280
6,11,O-L-D,280
6,12,O-L-D,280
6,13,O-R-D,320
6,14,O-L-D,280
6,15,O-R-D,320
6,16,O-R-D,320
6,17,O-L-D,280
7,0,O-R-D,310
7,1,O-R-D,310
7,2,O-R-D,310
7,3,O-R-D,310
7,4,O-L-D,290
7,5,O-L-D,290
7,6,O-R-D,310
7,7,O-R-D,310
7,8,O-L-D,290
7,9,O-L-D,290
7,10,O-R-D,310
7,11,O-R-D,310
7,12,O-L-D,290
7,13,O-R-D,310
7,14,O-L-D,290
7,15,O-R-D,310
7,16,O-L-D,290
7,17,O-L-D,290
8,0,O-L-D,260
8,1,O-R-D,340
8,2,O-R-D,340
8,3,O-R-D,340
8,4,O-R-D,340
