Round,Agent,Route,Cost
1,0,O-L-R-D,290
1,1,O-R-D,370
1,2,O-R-D,370
1,3,O-R-D,370
1,4,O-L-D,340
1,5,O-R-D,370
1,6,O-L-R-D,290
1,7,O-L-R-D,290
1,8,O-L-R-D,290
1,9,O-L-R-D,290
1,10,O-L-D,340
1,11,O-L-R-D,290
1,12,O-L-R-D,290
1,13,O-L-R-D,290
1,14,O-L-R-D,290
1,15,O-L-R-D,290
1,16,O-L-R-D,290
1,17,O-R-D,370
2,0,O-L-D,390
2,1,O-L-D,390
2,2,O-L-R-D,250
2,3,O-L-D,390
2,4,O-L-R-D,250
2,5,O-L-R-D,250
2,6,O-L-D,390
2,7,O-L-D,390
2,8,O-L-D,390
2,9,O-L-R-D,250
2,10,O-L-R-D,250
2,11,O-L-D,390
2,12,O-L-D,390
2,13,O-L-D,390
2,14,O-L-D,390
2,15,O-L-R-D,250
2,16,O-L-R-D,250
2,17,O-L-D,390
3,0,O-R-D,390
3,1,O-R-D,390
3,2,O-L-R-D,190
3,3,O-R-D,390
3,4,O-R-D,390
3,5,O-R-D,390
3,6,O-R-D,390
3,7,O-R-D,390
3,8,O-R-D,390
3,9,O-R-D,390
3,10,O-R-D,390
3,11,O-R-D,390
3,12,O-R-D,390
3,13,O-R-D,390
3,14,O-R-D,390
3,15,O-R-D,390
3,16,O-R-D,390
3,17,O-R-D,390
4,0,O-L-R-D,330
4,1,O-L-R-D,330
4,2,O-L-R-D,330
4,3,O-L-R-D,330
4,4,O-L-R-D,330
4,5,O-L-R-D,330
4,6,O-L-R-D,330
4,7,O-L-D,390
4,8,O-L-R-D,330
4,9,O-L-D,390
4,10,O-L-R-D,330
4,11,O-L-R-D,330
4,12,O-L-R-D,330
4,13,O-L-R-D,330
4,14,O-L-R-D,330
4,15,O-L-R-D,330
4,16,O-L-D,390
4,17,O-L-R-D,330
5,0,O-R-D,320
5,1,O-L-R-D,250
5,2,O-L-D,350
5,3,O-L-R-D,250
5,4,O-L-D,350
5,5,O-L-D,350
5,6,O-R-D,320
5,7,O-L-R-D,250
5,8,O-L-D,350
5,9,O-L-R-D,250
5,10,O-L-D,350
5,11,O-L-R-D,250
5,12,O-L-R-D,250
5,13,O-L-D,350
5,14,O-R-D,320
5,15,O-L-D,350
5,16,O-L-R-D,250
5,17,O-R-D,320
6,0,O-L-R-D,280
6,1,O-L-D,340
6,2,O-R-D,360
6,3,O-R-D,360
6,4,O-L-R-D,280
6,5,O-L-D,340
6,6,O-R-D,360
6,7,O-L-R-D,280
6,8,O-L-R-D,280
6,9,O-L-R-D,280
6,10,O-L-R-D,280
6,11,O-L-R-D,280
6,12,O-L-R-D,280
6,13,O-R-D,360
6,14,O-L-R-D,280
6,15,O-L-D,340
6,16,O-L-R-D,280
6,17,O-R-D,360
7,0,O-L-R-D,310
7,1,O-L-R-D,310
7,2,O-L-R-D,310
7,3,O-L-R-D,310
7,4,O-L-R-D,310
7,5,O-L-D,370
7,6,O-R-D,360
7,7,O-L-D,370
7,8,O-L-R-D,310
7,9,O-L-R-D,310
7,10,O-L-R-D,310
7,11,O-L-R-D,310
7,12,O-L-R-D,310
7,13,O-L-R-D,310
7,14,O-L-R-D,310
7,15,O-L-D,370
7,16,O-L-R-D,310
7,17,O-R-D,360
8,0,O-L-R-D,300
8,1,O-L-R-D,300
8,2,O-R-D,370
8,3,O-L-R-D,300
8,4,O-L-R-D,300
8,5,O-L-R-D,300
8,6,O-R-D,370
8,7,O-L-R-D,300
8,8,O-L-R-D,300
8,9,O-L-R-D,300
8,10,O-L-D,350
8,11,O-R-D,370
8,12,O-L-R-D,300
8,13,O-L-R-D,300
8,14,O-R-D,370
8,15,O-L-D,350
8,16,O-L-R-D,300
8,17,O-L-R-D,300
9,0,O-L-R-D,320
9,1,O-L-R-D,320
9,2,O-L-R-D,320
9,3,O-L-R-D,320
9,4,O-L-R-D,320
9,5,O-L-R-D,320
9,6,O-L-R-D,320
9,7,O-L-R-D,320
9,8,O-L-R-D,320
9,9,O-L-R-D,320
9,10,O-L-D,380
9,11,O-L-D,380
9,12,O-L-R-D,320
9,13,O-L-R-D,320
9,14,O-R-D,360
9,15,O-L-D,380
9,16,O-L-R-D,320
9,17,O-L-R-D,320
10,0,O-L-R-D,280
10,1,O-L-R-D,280
10,2,O-L-D,360
10,3,O-L-R-D,280
10,4,O-L-R-D,280
10,5,O-L-D,360
10,6,O-R-D,340
10,7,O-L-R-D,280
10,8,O-L-R-D,280
10,9,O-L-D,360
10,10,O-L-R-D,280
10,11,O-L-R-D,280
10,12,O-L-R-D,280
10,13,O-L-R-D,280
10,14,O-R-D,340
10,15,O-L-D,360
10,16,O-L-D,360
10,17,O-R-D,340
11,0,O-L-R-D,320
11,1,O-L-R-D,320
11,2,O-L-R-D,320
11,3,O-L-R-D,320
11,4,O-L-R-D,320
11,5,O-L-R-D,320
11,6,O-R-D,380
11,7,O-L-R-D,320
11,8,O-L-R-D,320
11,9,O-L-R-D,320
11,10,O-L-R-D,320
11,11,O-L-R-D,320
11,12,O-R-D,380
11,13,O-L-R-D,320
11,14,O-L-R-D,320
11,15,O-L-R-D,320
11,16,O-L-D,360
11,17,O-R-D,380
12,0,O-R-D,350
12,1,O-L-D,360
12,2,O-L-D,360
12,3,O-L-R-D,290
12,4,O-L-R-D,290
12,5,O-L-R-D,290
12,6,O-L-D,360
12,7,O-L-R-D,290
12,8,O-R-D,350
12,9,O-L-D,360
12,10,O-L-R-D,290
12,11,O-L-R-D,290
12,12,O-L-R-D,290
12,13,O-L-R-D,290
12,14,O-L-R-D,290
12,15,O-L-R-D,290
12,16,O-L-R-D,290
12,17,O-R-D,350
13,0,O-L-R-D,310
13,1,O-L-R-D,310
13,2,O-L-D,360
13,3,O-L-R-D,310
13,4,O-L-R-D,310
13,5,O-L-R-D,310
13,6,O-L-R-D,310
13,7,O-R-D,370
13,8,O-L-R-D,310
13,9,O-L-R-D,310
13,10,O-L-R-D,310
13,11,O-L-R-D,310
13,12,O-L-R-D,310
13,13,O-L-R-D,310
13,14,O-L-R-D,310
13,15,O-L-D,360
13,16,O-R-D,370
13,17,O-R-D,370
14,0,O-L-R-D,290
14,1,O-L-D,360
14,2,O-L-D,360
14,3,O-L-R-D,290
14,4,O-R-D,350
14,5,O-L-R-D,290
14,6,O-R-D,350
14,7,O-L-D,360
14,8,O-L-R-D,290
14,9,O-L-R-D,290
14,10,O-L-R-D,290
14,11,O-L-R-D,290
14,12,O-L-D,360
14,13,O-L-R-D,290
14,14,O-L-R-D,290
14,15,O-R-D,350
14,16,O-L-R-D,290
14,17,O-L-R-D,290
15,0,O-L-R-D,350
15,1,O-L-R-D,350
15,2,O-L-R-D,350
15,3,O-L-R-D,350
15,4,O-L-R-D,350
15,5,O-L-R-D,350
15,6,O-L-R-D,350
15,7,O-L-R-D,350
15,8,O-L-R-D,350
15,9,O-L-R-D,350
15,10,O-L-R-D,350
15,11,O-L-R-D,350
15,12,O-L-R-D,350
15,13,O-L-R-D,350
15,14,O-L-R-D,350
15,15,O-R-D,390
15,16,O-L-R-D,350
15,17,O-L-R-D,350
16,0,O-L-R-D,270
16,1,O-L-D,350
16,2,O-L-R-D,270
16,3,O-R-D,340
16,4,O-L-D,350
16,5,O-L-D,350
16,6,O-R-D,340
16,7,O-L-R-D,270
16,8,O-R-D,340
16,9,O-L-D,350
16,10,O-L-R-D,270
16,11,O-R-D,340
16,12,O-L-R-D,270
16,13,O-L-R-D,270
16,14,O-L-R-D,270
16,15,O-L-R-D,270
16,16,O-L-R-D,270
16,17,O-L-D,350
17,0,O-L-R-D,300
17,1,O-L-R-D,300
17,2,O-L-R-D,300
17,3,O-L-D,360
17,4,O-L-R-D,300
17,5,O-L-D,360
17,6,O-R-D,360
17,7,O-L-R-D,300
17,8,O-R-D,360
17,9,O-L-D,360
17,10,O-L-R-D,300
17,11,O-R-D,360
