Round,Agent,Route,Cost
1,0,O-A-D,380
1,1,O-A-D,380
1,2,O-A-D,380
1,3,O-A-D,380
1,4,O-A-D,380
1,5,O-A-D,380
1,6,O-A-D,380
1,7,O-A-D,380
1,8,O-A-D,380
1,9,O-A-D,380
1,10,O-A-D,380
1,11,O-A-D,380
1,12,O-A-D,380
1,13,O-B-D,220
1,14,O-A-D,380
1,15,O-A-D,380
1,16,O-A-D,380
1,17,O-A-D,380
2,0,O-B-D,380
2,1,O-B-D,380
2,2,O-B-D,380
2,3,O-B-D,380
2,4,O-B-D,380
2,5,O-A-D,220
2,6,O-B-D,380
2,7,O-B-D,380
2,8,O-B-D,380
2,9,O-B-D,380
2,10,O-B-D,380
2,11,O-B-D,380
2,12,O-B-D,380
2,13,O-B-D,380
2,14,O-B-D,380
2,15,O-B-D,380
2,16,O-B-D,380
2,17,O-B-D,380
3,0,O-A-D,390
3,1,O-A-D,390
3,2,O-A-D,390
3,3,O-A-D,390
3,4,O-A-D,390
3,5,O-A-D,390
3,6,O-A-D,390
3,7,O-A-D,390
3,8,O-A-D,390
3,9,O-A-D,390
3,10,O-A-D,390
3,11,O-A-D,390
3,12,O-A-D,390
3,13,O-A-D,390
3,14,O-A-D,390
3,15,O-A-D,390
3,16,O-A-D,390
3,17,O-A-D,390
4,0,O-B-D,380
4,1,O-B-D,380
4,2,O-B-D,380
4,3,O-B-D,380
4,4,O-B-D,380
4,5,O-A-D,220
4,6,O-B-D,380
4,7,O-B-D,380
4,8,O-B-D,380
4,9,O-B-D,380
4,10,O-B-D,380
4,11,O-B-D,380
4,12,O-B-D,380
4,13,O-B-D,380
4,14,O-B-D,380
4,15,O-B-D,380
4,16,O-B-D,380
4,17,O-B-D,380
5,0,O-A-D,390
5,1,O-A-D,390
5,2,O-A-D,390
5,3,O-A-D,390
5,4,O-A-D,390
5,5,O-A-D,390
5,6,O-A-D,390
5,7,O-A-D,390
5,8,O-A-D,390
5,9,O-A-D,390
5,10,O-A-D,390
5,11,O-A-D,390
5,12,O-A-D,390
5,13,O-A-D,390
5,14,O-A-D,390
5,15,O-A-D,390
5,16,O-A-D,390
5,17,O-A-D,390
6,0,O-B-D,380
6,1,O-B-D,380
6,2,O-B-D,380
6,3,O-B-D,380
6,4,O-B-D,380
6,5,O-A-D,220
6,6,O-B-D,380
6,7,O-B-D,380
6,8,O-B-D,380
6,9,O-B-D,380
6,10,O-B-D,380
6,11,O-B-D,380
6,12,O-B-D,380
6,13,O-B-D,380
6,14,O-B-D,380
6,15,O-B-D,380
6,16,O-B-D,380
6,17,O-B-D,380
7,0,O-A-D,390
7,1,O-A-D,390
7,2,O-A-D,390
7,3,O-A-D,390
7,4,O-A-D,390
7,5,O-A-D,390
7,6,O-A-D,390
7,7,O-A-D,390
7,8,O-A-D,390
7,9,O-A-D,390
7,10,O-A-D,390
7,11,O-A-D,390
7,12,O-A-D,390
7,13,O-A-D,390
7,14,O-A-D,390
7,15,O-A-D,390
7,16,O-A-D,390
7,17,O-A-D,390
8,0,O-B-D,370
8,1,O-B-D,370
8,2,O-B-D,370
8,3,O-B-D,370
8,4,O-B-D,370
8,5,O-A-D,230
8,6,O-B-D,370
8,7,O-B-D,370
8,8,O-B-D,370
8,9,O-B-D,370
8,10,O-B-D,370
8,11,O-B-D,370
8,12,O-B-D,370
8,13,O-A-D,230
8,14,O-B-D,370
8,15,O-B-D,370
8,16,O-B-D,370
8,17,O-B-D,370
9,0,O-A-D,390
9,1,O-A-D,390
9,2,O-A-D,390
9,3,O-A-D,390
9,4,O-A-D,390
9,5,O-A-D,390
9,6,O-A-D,390
9,7,O-A-D,390
9,8,O-A-D,390
9,9,O-A-D,390
9,10,O-A-D,390
9,11,O-A-D,390
9,12,O-A-D,390
9,13,O-A-D,390
9,14,O-A-D,390
9,15,O-A-D,390
9,16,O-A-D,390
9,17,O-A-D,390
10,0,O-B-D,380
