Round,Agent,Route,Cost
1,0,O-A-D,380
1,1,O-A-D,380
1,2,O-A-B-D,200
1,3,O-A-D,380
1,4,O-A-D,380
1,5,O-A-D,380
1,6,O-A-D,380
1,7,O-A-D,380
1,8,O-A-D,380
1,9,O-A-D,380
1,10,O-A-D,380
1,11,O-A-D,380
1,12,O-A-D,380
1,13,O-B-D,240
1,14,O-A-B-D,200
1,15,O-A-D,380
1,16,O-A-D,380
1,17,O-A-D,380
2,0,O-A-B-D,300
2,1,O-A-B-D,300
2,2,O-A-B-D,300
2,3,O-A-B-D,300
2,4,O-A-B-D,300
2,5,O-A-B-D,300
2,6,O-A-B-D,300
2,7,O-A-B-D,300
2,8,O-B-D,390
2,9,O-A-B-D,300
2,10,O-B-D,390
2,11,O-B-D,390
2,12,O-B-D,390
2,13,O-A-B-D,300
2,14,O-A-B-D,300
2,15,O-B-D,390
2,16,O-B-D,390
2,17,O-A-B-D,300
3,0,O-A-D,390
3,1,O-A-D,390
3,2,O-A-B-D,190
3,3,O-A-D,390
3,4,O-A-D,390
3,5,O-A-D,390
3,6,O-A-D,390
3,7,O-A-D,390
3,8,O-A-D,390
3,9,O-A-D,390
3,10,O-A-D,390
3,11,O-A-D,390
3,12,O-A-D,390
3,13,O-A-D,390
3,14,O-A-D,390
3,15,O-A-D,390
3,16,O-A-D,390
3,17,O-A-D,390
4,0,O-A-B-D,210
4,1,O-B-D,390
4,2,O-B-D,390
4,3,O-B-D,390
4,4,O-B-D,390
4,5,O-B-D,390
4,6,O-A-B-D,210
4,7,O-B-D,390
4,8,O-B-D,390
4,9,O-B-D,390
4,10,O-B-D,390
4,11,O-B-D,390
4,12,O-B-D,390
4,13,O-B-D,390
4,14,O-A-B-D,210
4,15,O-B-D,390
4,16,O-B-D,390
4,17,O-B-D,390
5,0,O-A-D,390
5,1,O-A-D,390
5,2,O-A-D,390
5,3,O-A-D,390
5,4,O-A-D,390
5,5,O-A-D,390
5,6,O-A-D,390
5,7,O-A-D,390
5,8,O-A-D,390
5,9,O-A-D,390
5,10,O-A-D,390
5,11,O-A-D,390
5,12,O-A-D,390
5,13,O-A-D,390
5,14,O-A-D,390
5,15,O-A-D,390
5,16,O-A-D,390
5,17,O-A-D,390
