Round,Agent,Route,Cost
1,0,O-B-D,310
1,1,O-B-D,310
1,2,O-A-D,310
1,3,O-B-D,310
1,4,O-B-D,310
1,5,O-A-B-D,200
1,6,O-B-D,310
1,7,O-B-D,310
1,8,O-A-D,310
1,9,O-B-D,310
1,10,O-A-D,310
1,11,O-A-D,310
1,12,O-A-D,310
1,13,O-B-D,310
1,14,O-A-B-D,200
1,15,O-A-D,310
1,16,O-A-D,310
1,17,O-A-D,310
2,0,O-A-B-D,350
2,1,O-A-B-D,350
2,2,O-A-B-D,350
2,3,O-A-B-D,350
2,4,O-A-B-D,350
2,5,O-A-B-D,350
2,6,O-A-B-D,350
2,7,O-A-B-D,350
2,8,O-B-D,390
2,9,O-A-B-D,350
2,10,O-A-B-D,350
2,11,O-A-B-D,350
2,12,O-A-B-D,350
2,13,O-A-B-D,350
2,14,O-A-B-D,350
2,15,O-A-B-D,350
2,16,O-A-B-D,350
2,17,O-A-B-D,350
3,0,O-B-D,280
3,1,O-A-D,360
3,2,O-A-B-D,220
3,3,O-A-D,360
3,4,O-B-D,280
3,5,O-A-D,360
3,6,O-A-B-D,220
3,7,O-A-B-D,220
3,8,O-A-D,360
3,9,O-A-D,360
3,10,O-A-D,360
3,11,O-A-D,360
3,12,O-A-B-D,220
3,13,O-B-D,280
3,14,O-A-D,360
3,15,O-A-D,360
3,16,O-A-D,360
3,17,O-A-D,360
4,0,O-A-B-D,340
4,1,O-A-B-D,340
4,2,O-A-B-D,340
4,3,O-A-B-D,340
4,4,O-A-B-D,340
4,5,O-B-D,390
4,6,O-A-B-D,340
4,7,O-A-B-D,340
4,8,O-B-D,390
4,9,O-A-B-D,340
4,10,O-A-B-D,340
4,11,O-A-B-D,340
4,12,O-A-B-D,340
4,13,O-A-B-D,340
4,14,O-A-B-D,340
4,15,O-A-B-D,340
4,16,O-A-B-D,340
4,17,O-A-B-D,340
5,0,O-A-D,380
5,1,O-A-D,380
5,2,O-A-D,380
5,3,O-A-D,380
5,4,O-A-D,380
5,5,O-A-D,380
5,6,O-A-B-D,200
5,7,O-A-D,380
5,8,O-A-D,380
5,9,O-A-D,380
5,10,O-A-D,380
5,11,O-A-D,380
5,12,O-A-B-D,200
5,13,O-B-D,240
5,14,O-A-D,380
5,15,O-A-D,380
5,16,O-A-D,380
5,17,O-A-D,380
