Round,Agent,Route,Cost
1,0,O-B-D,320
1,1,O-A-B-D,270
1,2,O-A-B-D,270
1,3,O-A-B-D,270
1,4,O-A-B-D,270
1,5,O-A-B-D,270
1,6,O-A-D,370
1,7,O-A-B-D,270
1,8,O-A-B-D,270
1,9,O-A-D,370
1,10,O-B-D,320
1,11,O-A-D,370
1,12,O-A-B-D,270
1,13,O-A-D,370
1,14,O-A-D,370
1,15,O-A-B-D,270
1,16,O-A-D,370
1,17,O-A-D,370
2,0,O-A-B-D,290
2,1,O-A-B-D,290
2,2,O-A-B-D,290
2,3,O-A-B-D,290
2,4,O-A-B-D,290
2,5,O-A-B-D,290
2,6,O-B-D,380
2,7,O-A-B-D,290
2,8,O-A-B-D,290
2,9,O-B-D,380
2,10,O-B-D,380
2,11,O-A-B-D,290
2,12,O-A-B-D,290
2,13,O-A-D,330
2,14,O-B-D,380
2,15,O-B-D,380
2,16,O-A-B-D,290
2,17,O-B-D,380
3,0,O-A-B-D,270
3,1,O-A-B-D,270
3,2,O-A-D,360
3,3,O-B-D,330
3,4,O-A-B-D,270
3,5,O-A-B-D,270
3,6,O-B-D,330
3,7,O-A-B-D,270
3,8,O-A-B-D,270
3,9,O-A-D,360
3,10,O-A-D,360
3,11,O-A-B-D,270
3,12,O-A-B-D,270
3,13,O-B-D,330
3,14,O-A-D,360
3,15,O-A-D,360
3,16,O-A-B-D,270
3,17,O-A-D,360
4,0,O-A-B-D,300
4,1,O-A-B-D,300
4,2,O-A-B-D,300
4,3,O-A-B-D,300
4,4,O-A-B-D,300
4,5,O-A-B-D,300
4,6,O-A-B-D,300
4,7,O-A-B-D,300
4,8,O-A-B-D,300
4,9,O-B-D,370
4,10,O-B-D,370
4,11,O-A-B-D,300
4,12,O-A-B-D,300
4,13,O-A-D,350
4,14,O-B-D,370
4,15,O-B-D,370
4,16,O-A-B-D,300
4,17,O-A-D,350
5,0,O-A-B-D,290
5,1,O-A-B-D,290
5,2,O-A-D,350
5,3,O-A-B-D,290
5,4,O-A-B-D,290
5,5,O-A-B-D,290
5,6,O-A-B-D,290
5,7,O-A-B-D,290
5,8,O-A-B-D,290
5,9,O-B-D,360
5,10,O-B-D,360
5,11,O-A-B-D,290
5,12,O-A-B-D,290
5,13,O-B-D,360
5,14,O-A-D,350
5,15,O-B-D,360
5,16,O-A-B-D,290
5,17,O-A-D,350
6,0,O-A-B-D,300
6,1,O-A-B-D,300
6,2,O-B-D,370
6,3,O-A-B-D,300
6,4,O-A-B-D,300
6,5,O-A-B-D,300
6,6,O-A-B-D,300
6,7,O-A-B-D,300
6,8,O-A-B-D,300
6,9,O-B-D,370
6,10,O-B-D,370
6,11,O-A-B-D,300
6,12,O-A-B-D,300
6,13,O-B-D,370
6,14,O-A-D,350
6,15,O-A-B-D,300
6,16,O-A-B-D,300
6,17,O-A-D,350
7,0,O-A-B-D,270
7,1,O-A-B-D,270
7,2,O-A-D,360
7,3,O-A-D,360
7,4,O-A-B-D,270
7,5,O-A-B-D,270
7,6,O-A-B-D,270
7,7,O-A-B-D,270
7,8,O-A-D,360
7,9,O-A-D,360
7,10,O-B-D,330
7,11,O-A-B-D,270
7,12,O-A-B-D,270
7,13,O-B-D,330
7,14,O-A-D,360
7,15,O-B-D,330
7,16,O-A-B-D,270
7,17,O-A-D,360
8,0,O-A-B-D,300
8,1,O-A-B-D,300
8,2,O-B-D,380
8,3,O-A-B-D,300
8,4,O-A-B-D,300
8,5,O-A-B-D,300
8,6,O-A-B-D,300
8,7,O-A-B-D,300
8,8,O-A-B-D,300
8,9,O-B-D,380
8,10,O-B-D,380
8,11,O-A-B-D,300
8,12,O-A-B-D,300
8,13,O-A-B-D,300
8,14,O-B-D,380
8,15,O-B-D,380
8,16,O-A-B-D,300
8,17,O-A-D,340
9,0,O-A-B-D,290
9,1,O-A-B-D,290
9,2,O-A-D,370
9,3,O-B-D,340
9,4,O-A-B-D,290
9,5,O-A-B-D,290
9,6,O-A-B-D,290
9,7,O-A-B-D,290
9,8,O-A-B-D,290
9,9,O-A-D,370
9,10,O-A-D,370
9,11,O-A-B-D,290
9,12,O-A-B-D,290
9,13,O-B-D,340
9,14,O-A-D,370
9,15,O-A-B-D,290
9,16,O-A-B-D,290
9,17,O-A-D,370
10,0,O-A-B-D,290
10,1,O-A-B-D,290
10,2,O-B-D,370
10,3,O-A-B-D,290
10,4,O-A-B-D,290
10,5,O-A-B-D,290
10,6,O-A-B-D,290
10,7,O-A-B-D,290
10,8,O-A-B-D,290
10,9,O-B-D,370
10,10,O-B-D,370
10,11,O-A-B-D,290
10,12,O-A-B-D,290
10,13,O-A-D,340
10,14,O-B-D,370
10,15,O-B-D,370
10,16,O-A-B-D,290
10,17,O-A-D,340
