Round,Agent,Route,Cost,Regret
1,0,O-R-D,320,30
1,1,O-R-D,320,30
1,2,O-R-D,320,30
1,3,O-R-D,320,30
1,4,O-R-D,320,30
1,5,O-R-D,320,30
1,6,O-L-D,280,0
1,7,O-R-D,320,30
1,8,O-L-D,280,0
1,9,O-L-D,280,0
1,10,O-R-D,320,30
1,11,O-L-D,280,0
1,12,O-R-D,320,30
1,13,O-L-D,280,0
1,14,O-L-D,280,0
1,15,O-R-D,320,30
1,16,O-R-D,320,30
1,17,O-L-D,280,0
2,0,O-L-D,350,90
2,1,O-L-D,350,90
2,2,O-R-D,250,0
2,3,O-L-D,350,90
2,4,O-L-D,350,90
2,5,O-L-D,350,90
2,6,O-L-D,350,90
2,7,O-L-D,350,90
2,8,O-L-D,350,90
2,9,O-R-D,250,0
2,10,O-L-D,350,90
2,11,O-L-D,350,90
2,12,O-L-D,350,90
2,13,O-R-D,250,0
2,14,O-L-D,350,90
2,15,O-L-D,350,90
2,16,O-R-D,250,0
2,17,O-L-D,350,90
3,0,O-R-D,350,90
3,1,O-R-D,350,90
3,2,O-L-D,250,0
3,3,O-R-D,350,90
3,4,O-R-D,350,90
3,5,O-R-D,350,90
3,6,O-R-D,350,90
3,7,O-R-D,350,90
3,8,O-R-D,350,90
3,9,O-L-D,250,0
3,10,O-R-D,350,90
3,11,O-R-D,350,90
3,12,O-R-D,350,90
3,13,O-L-D,250,0
3,14,O-R-D,350,90
3,15,O-R-D,350,90
3,16,O-L-D,250,0
3,17,O-R-D,350,90
4,0,O-L-D,360,110
4,1,O-L-D,360,110
4,2,O-R-D,240,0
4,3,O-L-D,360,110
4,4,O-L-D,360,110
4,5,O-L-D,360,110
4,6,O-L-D,360,110
4,7,O-L-D,360,110
4,8,O-L-D,360,110
4,9,O-L-D,360,110
4,10,O-L-D,360,110
4,11,O-L-D,360,110
4,12,O-L-D,360,110
4,13,O-R-D,240,0
4,14,O-L-D,360,110
4,15,O-L-D,360,110
4,16,O-R-D,240,0
4,17,O-L-D,360,110
5,0,O-R-D,360,110
5,1,O-R-D,360,110
5,2,O-L-D,240,0
5,3,O-R-D,360,110
5,4,O-R-D,360,110
5,5,O-L-D,240,0
5,6,O-R-D,360,110
5,7,O-R-D,360,110
5,8,O-R-D,360,110
5,9,O-R-D,360,110
5,10,O-R-D,360,110
5,11,O-R-D,360,110
5,12,O-R-D,360,110
5,13,O-R-D,360,110
5,14,O-R-D,360,110
5,15,O-R-D,360,110
5,16,O-L-D,240,0
5,17,O-R-D,360,110
6,0,O-L-D,360,110
6,1,O-L-D,360,110
6,2,O-R-D,240,0
6,3,O-L-D,360,110
6,4,O-L-D,360,110
6,5,O-R-D,240,0
6,6,O-L-D,360,110
