Round,Agent,Route,Cost
1,0,O-A-B-D,310
1,1,O-B-D,310
1,2,O-A-B-D,310
1,3,O-A-B-D,310
1,4,O-B-D,310
1,5,O-B-D,310
1,6,O-B-D,310
1,7,O-A-B-D,310
1,8,O-A-B-D,310
1,9,O-B-D,310
1,10,O-A-B-D,310
1,11,O-A-D,310
1,12,O-A-D,310
1,13,O-A-D,310
1,14,O-B-D,310
1,15,O-B-D,310
1,16,O-B-D,310
1,17,O-A-D,310
2,0,O-A-D,360
2,1,O-A-B-D,360
2,2,O-A-D,360
2,3,O-A-D,360
2,4,O-B-D,360
2,5,O-B-D,360
2,6,O-A-B-D,360
2,7,O-B-D,360
2,8,O-B-D,360
2,9,O-A-B-D,360
2,10,O-B-D,360
2,11,O-B-D,360
2,12,O-A-B-D,360
2,13,O-A-B-D,360
2,14,O-A-B-D,360
2,15,O-A-B-D,360
2,16,O-A-B-D,360
2,17,O-B-D,360
3,0,O-A-B-D,340
3,1,O-A-B-D,340
3,2,O-A-B-D,340
3,3,O-B-D,340
3,4,O-A-D,340
3,5,O-A-B-D,340
3,6,O-B-D,340
3,7,O-B-D,340
3,8,O-B-D,340
3,9,O-A-D,340
3,10,O-A-B-D,340
3,11,O-A-D,340
3,12,O-A-D,340
3,13,O-B-D,340
3,14,O-A-B-D,340
3,15,O-A-B-D,340
3,16,O-A-D,340
3,17,O-A-D,340
4,0,O-A-D,320
4,1,O-A-D,320
4,2,O-A-B-D,320
4,3,O-B-D,320
4,4,O-B-D,320
4,5,O-A-D,320
4,6,O-B-D,320
4,7,O-A-D,320
4,8,O-B-D,320
4,9,O-A-D,320
4,10,O-B-D,320
4,11,O-B-D,320
4,12,O-A-D,320
4,13,O-A-D,320
4,14,O-A-B-D,320
4,15,O-A-B-D,320
4,16,O-B-D,320
4,17,O-B-D,320
5,0,O-B-D,320
5,1,O-A-D,320
5,2,O-A-D,320
5,3,O-A-D,320
5,4,O-A-D,320
5,5,O-B-D,320
5,6,O-A-B-D,320
5,7,O-B-D,320
5,8,O-A-B-D,320
5,9,O-B-D,320
5,10,O-A-D,320
5,11,O-B-D,320
5,12,O-A-B-D,320
5,13,O-A-B-D,320
5,14,O-A-D,320
5,15,O-B-D,320
5,16,O-B-D,320
5,17,O-A-D,320
6,0,O-A-D,290
6,1,O-A-D,290
6,2,O-A-D,290
6,3,O-A-B-D,290
6,4,O-B-D,290
6,5,O-A-D,290
6,6,O-A-D,290
6,7,O-A-D,290
6,8,O-A-D,290
6,9,O-A-B-D,290
6,10,O-A-D,290
6,11,O-A-B-D,290
6,12,O-A-B-D,290
6,13,O-A-B-D,290
6,14,O-A-D,290
6,15,O-B-D,290
6,16,O-A-D,290
6,17,O-B-D,290
7,0,O-B-D,250
7,1,O-A-D,250
7,2,O-A-D,250
7,3,O-B-D,250
7,4,O-B-D,250
7,5,O-A-D,250
7,6,O-B-D,250
7,7,O-A-B-D,250
7,8,O-A-B-D,250
7,9,O-B-D,250
7,10,O-B-D,250
7,11,O-A-B-D,250
7,12,O-B-D,250
7,13,O-A-B-D,250
7,14,O-A-D,250
7,15,O-A-B-D,250
7,16,O-A-B-D,250
7,17,O-A-B-D,250
8,0,O-A-D,350
8,1,O-B-D,350
8,2,O-A-D,350
8,3,O-A-D,350
8,4,O-A-D,350
8,5,O-A-B-D,350
8,6,O-A-B-D,350
8,7,O-A-B-D,350
8,8,O-A-B-D,350
8,9,O-A-D,350
8,10,O-A-B-D,350
8,11,O-A-D,350
8,12,O-A-B-D,350
8,13,O-B-D,350
8,14,O-B-D,350
8,15,O-A-B-D,350
8,16,O-B-D,350
8,17,O-A-D,350
9,0,O-A-D,370
9,1,O-A-D,370
9,2,O-A-D,370
9,3,O-B-D,370
9,4,O-A-D,370
9,5,O-A-B-D,370
9,6,O-A-D,370
9,7,O-A-B-D,370
9,8,O-A-B-D,370
9,9,O-A-D,370
9,10,O-A-D,370
9,11,O-A-B-D,370
9,12,O-A-B-D,370
9,13,O-B-D,370
9,14,O-A-B-D,370
9,15,O-A-B-D,370
9,16,O-A-B-D,370
9,17,O-A-D,370
10,0,O-A-D,340
10,1,O-A-B-D,340
10,2,O-B-D,340
10,3,O-B-D,340
10,4,O-A-D,340
10,5,O-A-B-D,340
10,6,O-A-B-D,340
10,7,O-A-B-D,340
10,8,O-A-B-D,340
10,9,O-A-D,340
10,10,O-B-D,340
10,11,O-B-D,340
10,12,O-A-D,340
10,13,O-A-B-D,340
10,14,O-A-D,340
10,15,O-A-B-D,340
10,16,O-B-D,340
10,17,O-A-D,340
11,0,O-A-D,370
11,1,O-A-D,370
11,2,O-A-D,370
11,3,O-A-B-D,370
11,4,O-A-D,370
11,5,O-A-D,370
11,6,O-A-B-D,370
11,7,O-A-B-D,370
11,8,O-A-B-D,370
11,9,O-A-D,370
11,10,O-A-B-D,370
11,11,O-A-B-D,370
11,12,O-B-D,370
11,13,O-A-B-D,370
11,14,O-A-B-D,370
11,15,O-A-B-D,370
11,16,O-B-D,370
11,17,O-A-D,370
12,0,O-A-B-D,330
12,1,O-B-D,330
12,2,O-A-B-D,330
12,3,O-A-B-D,330
12,4,O-B-D,330
12,5,O-B-D,330
12,6,O-B-D,330
12,7,O-A-D,330
12,8,O-A-B-D,330
12,9,O-A-D,330
12,10,O-A-B-D,330
12,11,O-A-B-D,330
12,12,O-A-B-D,330
12,13,O-A-B-D,330
12,14,O-B-D,330
12,15,O-A-B-D,330
12,16,O-B-D,330
12,17,O-A-D,330
13,0,O-A-D,230
13,1,O-B-D,230
13,2,O-A-D,230
13,3,O-A-D,230
13,4,O-A-D,230
13,5,O-A-B-D,230
13,6,O-B-D,230
13,7,O-A-B-D,230
13,8,O-A-B-D,230
13,9,O-B-D,230
13,10,O-A-D,230
13,11,O-B-D,230
13,12,O-A-D,230
13,13,O-B-D,230
13,14,O-A-D,230
13,15,O-B-D,230
13,16,O-A-B-D,230
13,17,O-A-B-D,230
14,0,O-A-B-D,280
14,1,O-A-D,280
14,2,O-A-B-D,280
14,3,O-A-B-D,280
14,4,O-A-B-D,280
14,5,O-A-B-D,280
14,6,O-A-D,280
14,7,O-A-B-D,280
14,8,O-B-D,280
14,9,O-A-B-D,280
14,10,O-A-B-D,280
14,11,O-B-D,280
14,12,O-B-D,280
14,13,O-B-D,280
14,14,O-A-B-D,280
14,15,O-B-D,280
14,16,O-B-D,280
14,17,O-A-B-D,280
15,0,O-A-D,320
15,1,O-A-D,320
15,2,O-A-D,320
15,3,O-A-B-D,320
15,4,O-B-D,320
15,5,O-B-D,320
15,6,O-B-D,320
15,7,O-A-B-D,320
15,8,O-A-D,320
15,9,O-A-B-D,320
15,10,O-B-D,320
15,11,O-B-D,320
15,12,O-A-B-D,320
15,13,O-B-D,320
15,14,O-B-D,320
15,15,O-A-B-D,320
15,16,O-A-B-D,320
15,17,O-A-D,320
16,0,O-A-B-D,350
16,1,O-B-D,350
16,2,O-A-B-D,350
16,3,O-A-B-D,350
16,4,O-B-D,350
16,5,O-B-D,350
16,6,O-A-B-D,350
16,7,O-A-B-D,350
16,8,O-A-B-D,350
16,9,O-A-B-D,350
16,10,O-A-D,350
16,11,O-A-B-D,350
16,12,O-A-B-D,350
16,13,O-B-D,350
16,14,O-A-B-D,350
16,15,O-A-B-D,350
16,16,O-A-D,350
16,17,O-A-D,350
17,0,O-B-D,330
17,1,O-A-B-D,330
17,2,O-A-B-D,330
17,3,O-A-B-D,330
17,4,O-A-B-D,330
17,5,O-B-D,330
17,6,O-A-B-D,330
17,7,O-A-D,330
17,8,O-B-D,330
17,9,O-A-D,330
17,10,O-B-D,330
17,11,O-A-B-D,330
17,12,O-A-B-D,330
17,13,O-B-D,330
17,14,O-A-B-D,330
17,15,O-A-B-D,330
17,16,O-B-D,330
