Round,Agent,Route,Cost,Regret
1,0,O-L-R-D,300,0
1,1,O-L-R-D,300,0
1,2,O-L-R-D,300,0
1,3,O-L-R-D,300,0
1,4,O-L-R-D,300,0
1,5,O-L-R-D,300,0
1,6,O-L-R-D,300,0
1,7,O-R-D,380,70
1,8,O-R-D,380,70
1,9,O-R-D,380,70
1,10,O-L-R-D,300,0
1,11,O-L-R-D,300,0
1,12,O-L-R-D,300,0
1,13,O-R-D,380,70
1,14,O-L-R-D,300,0
1,15,O-L-D,340,30
1,16,O-L-R-D,300,0
1,17,O-R-D,380,70
2,0,O-L-D,380,130
2,1,O-L-D,380,130
2,2,O-R-D,280,30
2,3,O-L-D,380,130
2,4,O-L-D,380,130
2,5,O-L-R-D,240,0
2,6,O-L-D,380,130
2,7,O-L-D,380,130
2,8,O-L-R-D,240,0
2,9,O-L-R-D,240,0
2,10,O-L-D,380,130
2,11,O-L-R-D,240,0
2,12,O-L-R-D,240,0
2,13,O-L-D,380,130
2,14,O-L-D,380,130
2,15,O-L-D,380,130
2,16,O-L-D,380,130
2,17,O-L-R-D,240,0
3,0,O-R-D,390,130
3,1,O-R-D,390,130
3,2,O-R-D,390,130
3,3,O-L-R-D,250,0
3,4,O-R-D,390,130
3,5,O-L-R-D,250,0
3,6,O-R-D,390,130
3,7,O-L-R-D,250,0
3,8,O-L-R-D,250,0
3,9,O-R-D,390,130
3,10,O-R-D,390,130
3,11,O-R-D,390,130
3,12,O-L-R-D,250,0
3,13,O-R-D,390,130
3,14,O-L-R-D,250,0
3,15,O-R-D,390,130
3,16,O-R-D,390,130
3,17,O-L-R-D,250,0
4,0,O-L-R-D,290,0
4,1,O-L-R-D,290,0
4,2,O-L-D,380,80
4,3,O-L-R-D,290,0
4,4,O-L-D,380,80
4,5,O-L-D,380,80
4,6,O-L-D,380,80
4,7,O-L-R-D,290,0
4,8,O-L-R-D,290,0
4,9,O-L-D,380,80
4,10,O-L-R-D,290,0
4,11,O-L-R-D,290,0
4,12,O-R-D,330,30
4,13,O-L-R-D,290,0
4,14,O-L-R-D,290,0
4,15,O-L-R-D,290,0
4,16,O-L-R-D,290,0
4,17,O-L-D,380,80
5,0,O-L-R-D,300,0
5,1,O-L-R-D,300,0
5,2,O-L-D,360,50
5,3,O-R-D,360,50
5,4,O-L-R-D,300,0
5,5,O-R-D,360,50
5,6,O-L-R-D,300,0
5,7,O-L-R-D,300,0
5,8,O-L-D,360,50
5,9,O-L-D,360,50
5,10,O-L-R-D,300,0
5,11,O-L-R-D,300,0
5,12,O-R-D,360,50
5,13,O-L-R-D,300,0
5,14,O-L-R-D,300,0
5,15,O-L-R-D,300,0
5,16,O-L-R-D,300,0
5,17,O-L-R-D,300,0
6,0,O-L-R-D,280,0
6,1,O-L-R-D,280,0
6,2,O-L-D,360,70
6,3,O-L-D,360,70
6,4,O-L-R-D,280,0
6,5,O-L-R-D,280,0
6,6,O-L-R-D,280,0
6,7,O-L-R-D,280,0
6,8,O-L-R-D,280,0
6,9,O-L-D,360,70
6,10,O-L-D,360,70
6,11,O-L-D,360,70
6,12,O-L-R-D,280,0
6,13,O-L-R-D,280,0
6,14,O-R-D,340,50
6,15,O-R-D,340,50
6,16,O-L-R-D,280,0
6,17,O-R-D,340,50
7,0,O-L-R-D,300,0
7,1,O-L-R-D,300,0
7,2,O-L-D,370,60
7,3,O-R-D,350,40
7,4,O-L-R-D,300,0
7,5,O-L-R-D,300,0
7,6,O-L-R-D,300,0
7,7,O-L-R-D,300,0
7,8,O-L-R-D,300,0
7,9,O-L-D,370,60
7,10,O-L-R-D,300,0
7,11,O-L-D,370,60
7,12,O-L-D,370,60
7,13,O-L-R-D,300,0
7,14,O-L-R-D,300,0
7,15,O-R-D,350,40
7,16,O-L-R-D,300,0
7,17,O-L-R-D,300,0
8,0,O-L-R-D,330,0
8,1,O-L-R-D,330,0
8,2,O-L-D,370,30
8,3,O-R-D,380,40
8,4,O-L-R-D,330,0
8,5,O-L-R-D,330,0
8,6,O-L-R-D,330,0
8,7,O-R-D,380,40
8,8,O-L-R-D,330,0
8,9,O-L-R-D,330,0
8,10,O-L-R-D,330,0
8,11,O-L-R-D,330,0
8,12,O-L-R-D,330,0
8,13,O-L-R-D,330,0
8,14,O-L-R-D,330,0
8,15,O-L-R-D,330,0
8,16,O-L-R-D,330,0
